SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
08000001,8,7.75,8.5,-1,7.75,8,-1,-1,-1,-1,-1,-1,-1,-1,32
08000002,8,3.6,4,-1,-1,-1,-1,4.6,3.7,-1,-1,-1,-1,-1,15.9
08000003,8,2.45,7.25,-1,-1,-1,-1,-1,5.5,-1,-1,-1,-1,7.75,22.95
08000004,8,5.1,5.75,-1,-1,-1,4,6.5,-1,-1,-1,-1,-1,-1,21.35
08000005,8,2.35,7,-1,-1,-1,-1,4.6,4.6,-1,-1,-1,-1,-1,18.55
08000006,8,4.5,8.75,-1,-1,-1,-1,9.75,-1,-1,-1,-1,-1,8.25,31.25
08000007,8,3.25,7.25,-1,-1,-1,-1,-1,5.35,-1,-1,-1,-1,7.75,23.6
08000008,8,6.75,9,5.25,-1,6.25,-1,-1,-1,-1,-1,-1,-1,-1,27.25
08000009,8,4.25,6.75,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,8.5,26.25
08000010,8,3.6,9.25,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,8.25,28.85
08000011,8,5.75,7,4.75,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
08000012,8,6.75,4.75,5.75,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
08000013,8,4.1,8.25,-1,7,4.75,-1,-1,-1,-1,-1,-1,-1,-1,24.1
08000014,8,3.1,7.75,-1,-1,-1,-1,6.25,4.85,-1,-1,-1,-1,-1,21.95
08000015,8,6.25,6.75,-1,-1,5.25,6.35,-1,-1,-1,-1,-1,-1,-1,24.6
08000016,8,4.6,6.75,-1,-1,-1,-1,-1,7.25,-1,-1,-1,-1,8.25,26.85
08000017,8,6.6,6.25,-1,-1,6.25,6.85,-1,-1,-1,-1,-1,-1,-1,25.95
08000018,8,5,9.25,-1,-1,-1,-1,9,9.5,-1,-1,-1,-1,-1,32.75
08000019,8,4.6,9,-1,-1,4,5.6,-1,-1,-1,-1,-1,-1,-1,23.2
08000020,8,1.45,5.25,-1,-1,-1,-1,3.75,3.25,-1,-1,-1,-1,-1,13.7
08000021,8,1.85,6.25,-1,-1,-1,-1,5.25,-1,-1,-1,-1,-1,7,20.35
08000022,8,5.5,8.75,-1,-1,-1,8,7.75,-1,-1,-1,-1,-1,-1,30
08000023,8,8.75,8.25,7.25,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.5
08000024,8,3,8.25,-1,-1,-1,-1,4.35,6.6,-1,-1,-1,-1,-1,22.2
