SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
04000001,4,5.75,6.5,5,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,24.5
04000002,4,7,6.25,-1,7.25,4.85,-1,-1,-1,-1,-1,-1,-1,-1,25.35
04000003,4,4.25,5.5,6.25,-1,-1,-1,-1,6.35,-1,-1,-1,-1,-1,22.35
04000004,4,6.25,5,-1,7.75,5.75,-1,-1,-1,-1,-1,-1,-1,-1,24.75
04000005,4,2.5,6,-1,-1,-1,-1,-1,6.85,-1,-1,-1,-1,7.75,23.1
04000006,4,5.1,7.25,3.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,25.35
04000007,4,5,6.5,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,8,27.25
04000008,4,5.35,4.25,-1,9.5,7,-1,-1,-1,-1,-1,-1,-1,-1,26.1
04000009,4,5.25,4.5,-1,6.25,3.75,-1,-1,-1,-1,-1,-1,-1,-1,19.75
04000010,4,6.25,7.75,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,27.25
04000011,4,6,4.25,-1,9,6.75,-1,-1,-1,-1,-1,-1,-1,-1,26
04000012,4,5.75,6.75,5.5,-1,-1,-1,7.6,-1,-1,-1,-1,-1,-1,25.6
04000013,4,4.1,5.25,-1,6.5,4.75,-1,-1,-1,-1,-1,-1,-1,-1,20.6
04000014,4,4.5,7.25,5.75,-1,-1,-1,-1,6.85,-1,-1,-1,-1,-1,24.35
04000015,4,4.85,3.75,-1,-1,-1,-1,-1,7.5,-1,-1,-1,-1,7,23.1
04000016,4,5.25,3.5,-1,7.5,7.5,-1,-1,-1,-1,-1,-1,-1,-1,23.75
04000017,4,7.5,6.25,-1,9.25,6.1,-1,-1,-1,-1,-1,-1,-1,-1,29.1
04000018,4,6.25,7.75,5.25,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,25.25
04000019,4,6.75,8.75,4.5,-1,-1,-1,-1,9.25,-1,-1,-1,-1,-1,29.25
04000020,4,8,6.5,-1,7.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,29.75
04000021,4,5.75,6,-1,7.5,6.75,-1,-1,-1,-1,-1,-1,-1,-1,26
04000022,4,5.1,4.75,-1,6.25,5.1,-1,-1,-1,-1,-1,-1,-1,-1,21.2
04000023,4,5,5.75,-1,8.75,5.85,-1,-1,-1,-1,-1,-1,-1,-1,25.35
04000024,4,5.75,5.25,-1,7.25,7,-1,-1,-1,-1,-1,-1,-1,-1,25.25
04000025,4,5.75,5.5,-1,5.25,6.75,-1,-1,-1,-1,-1,-1,-1,-1,23.25
