SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
64000001,64,2.6,5,-1,-1,3,4.25,-1,-1,-1,-1,-1,-1,-1,14.85
64000002,64,1.85,6.5,-1,-1,-1,-1,3.85,3.5,-1,-1,-1,-1,-1,15.7
64000003,64,2.1,5,-1,-1,-1,-1,4.5,4.5,-1,-1,-1,-1,-1,16.1
64000004,64,3.95,7.5,-1,7,4.75,-1,-1,-1,-1,-1,-1,-1,-1,23.2
64000005,64,5.5,8.5,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,7.1,29.35
64000006,64,4.6,9,3.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,25.6
64000007,64,2.1,5.5,-1,-1,-1,-1,5,3.85,-1,-1,-1,-1,-1,16.45
64000008,64,4,6.25,-1,-1,-1,-1,5.75,-1,-1,-1,-1,7.5,-1,23.5
64000009,64,5,7.75,-1,-1,-1,-1,-1,4.85,-1,-1,-1,-1,4.95,22.55
64000010,64,3.25,5.25,-1,-1,-1,-1,4,2.6,-1,-1,-1,-1,-1,15.1
64000011,64,2.35,7.75,-1,-1,-1,5.1,4.6,-1,-1,-1,-1,-1,-1,19.8
64000012,64,4.75,8.5,-1,7.75,5.75,-1,-1,-1,-1,-1,-1,-1,-1,26.75
64000013,64,3.5,7.25,-1,-1,-1,5.6,-1,-1,-1,-1,-1,7.5,-1,23.85
64000014,64,3,6,-1,4.85,-1,-1,5.1,-1,-1,-1,-1,-1,-1,18.95
64000015,64,3,6.75,-1,5.75,-1,-1,4.85,-1,-1,-1,-1,-1,-1,20.35
64000016,64,3.1,6.25,-1,-1,-1,-1,-1,8.25,-1,-1,-1,-1,8.5,26.1
64000017,64,2.5,6.75,-1,-1,-1,-1,6.5,6.75,-1,-1,-1,-1,-1,22.5
64000018,64,2.25,7,5,-1,-1,-1,-1,-1,-1,6.75,-1,-1,-1,21
64000019,64,3.5,7.5,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,7.25,25.25
64000020,64,1.95,7.25,-1,-1,-1,-1,4.6,5.35,-1,-1,-1,-1,-1,19.15
64000021,64,4,9,-1,-1,-1,-1,-1,7.25,-1,-1,-1,-1,8.5,28.75
64000022,64,3.45,6.25,-1,-1,-1,-1,-1,3.25,-1,-1,-1,-1,5,17.95
64000023,64,1.85,6.5,-1,-1,-1,-1,3.35,5,-1,-1,-1,-1,-1,16.7
64000024,64,3.1,7.5,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,8.25,24.6
64000025,64,2.75,6.5,-1,4.1,-1,-1,4.25,-1,-1,-1,-1,-1,-1,17.6
64000026,64,3.85,5.75,-1,4.85,4.5,-1,-1,-1,-1,-1,-1,-1,-1,18.95
64000027,64,1.5,7,-1,-1,-1,-1,5.75,5,-1,-1,-1,-1,-1,19.25
64000028,64,3.6,7.5,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,7.25,24.85
64000029,64,1.95,6.75,-1,-1,-1,-1,-1,3.6,-1,-1,-1,-1,6.75,19.05
64000030,64,3.85,8.75,-1,-1,4,-1,-1,-1,-1,-1,-1,7.5,-1,24.1
64000031,64,3.6,8,-1,-1,-1,-1,-1,5.1,-1,-1,-1,-1,7.75,24.45
64000032,64,4.75,8.75,-1,-1,-1,-1,-1,5.95,-1,-1,-1,-1,8,27.45
64000033,64,3.85,7,-1,-1,-1,-1,7,7.25,-1,-1,-1,-1,-1,25.1
64000034,64,3.35,8.5,-1,5.25,4.2,-1,-1,-1,-1,-1,-1,-1,-1,21.3
64000035,64,4.75,9,-1,7.25,5.5,-1,-1,-1,-1,-1,-1,-1,-1,26.5
64000036,64,2.1,7.5,-1,-1,-1,-1,5.35,3.7,-1,-1,-1,-1,-1,18.65
64000037,64,4.5,7.75,-1,-1,-1,-1,5.35,-1,-1,-1,-1,-1,7.75,25.35
64000038,64,5.25,8.5,4.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.25
64000039,64,4.6,8,-1,-1,-1,-1,-1,6.85,-1,-1,-1,-1,8,27.45
64000040,64,5.1,-1,-1,4.5,-1,-1,-1,-1,-1,4.35,-1,-1,-1,13.95
64000041,64,2.95,9,-1,-1,4.25,-1,-1,-1,-1,-1,-1,7.1,-1,23.3
64000042,64,4.35,6.5,-1,-1,-1,-1,4.75,-1,-1,-1,-1,6,-1,21.6
64000043,64,1.1,6,-1,-1,-1,-1,3.75,3.45,-1,-1,-1,-1,-1,14.3
64000044,64,4.5,7.75,-1,-1,4,5.5,-1,-1,-1,-1,-1,-1,-1,21.75
64000045,64,3.85,6.5,-1,-1,-1,-1,-1,5.35,-1,-1,-1,-1,8,23.7
64000046,64,2.6,6.25,-1,-1,-1,-1,-1,7.5,-1,-1,-1,-1,8.75,25.1
64000047,64,5,7.5,-1,-1,-1,-1,-1,3.45,-1,-1,-1,-1,8,23.95
64000048,64,3.75,7.25,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,7.1,25.1
64000049,64,1.75,5,-1,-1,-1,-1,3.35,4.5,-1,-1,-1,-1,-1,14.6
64000050,64,1.7,5,-1,-1,-1,-1,4.25,-1,-1,3.5,-1,-1,-1,14.45
64000051,64,3.6,8.75,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,8.25,26.6
64000052,64,5.75,8,6,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,28
64000053,64,4.75,6,-1,-1,-1,-1,-1,6.35,-1,-1,-1,-1,7.25,24.35
64000054,64,2.1,6.25,-1,-1,-1,4.25,4,-1,-1,-1,-1,-1,-1,16.6
64000055,64,2.6,9.25,-1,-1,-1,-1,8.75,8.25,-1,-1,-1,-1,-1,28.85
64000056,64,1.85,6.5,-1,-1,-1,-1,-1,3.6,-1,-1,-1,-1,6.5,18.45
64000057,64,3.75,7.75,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,8,25.5
64000058,64,5.1,7.5,-1,-1,-1,-1,6.1,7.35,-1,-1,-1,-1,-1,26.05
64000059,64,3.35,7.5,-1,-1,-1,-1,8.5,7.5,-1,-1,-1,-1,-1,26.85
64000060,64,3.2,7.25,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,6.5,23.45
64000061,64,1.6,6.5,-1,-1,-1,-1,3.85,2.85,-1,-1,-1,-1,-1,14.8
