SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
07000001,7,8,7.25,-1,8,8.5,-1,-1,-1,-1,-1,-1,-1,-1,31.75
07000002,7,5.5,8,6,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,27.5
07000003,7,5.5,8.75,-1,-1,-1,-1,9,9.5,-1,-1,-1,-1,-1,32.75
07000004,7,5.2,7.25,6.25,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,22.7
07000005,7,6.5,8,-1,-1,-1,-1,9.25,8.75,-1,-1,-1,-1,-1,32.5
07000006,7,5.25,8,2.75,4.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.6
07000007,7,4.75,8,-1,-1,-1,-1,7.75,5.35,-1,-1,-1,-1,-1,25.85
07000008,7,4.25,4,-1,-1,3.5,4.85,-1,-1,-1,-1,-1,-1,-1,16.6
07000009,7,6.75,6.25,-1,7.6,5.85,-1,-1,-1,-1,-1,-1,-1,-1,26.45
07000010,7,8,8.5,-1,9.25,7,-1,-1,-1,-1,-1,-1,-1,-1,32.75
07000011,7,4.1,8.75,-1,-1,-1,-1,9.5,9.25,-1,-1,-1,-1,-1,31.6
07000012,7,9,6.5,4.5,-1,7.25,-1,-1,-1,-1,-1,-1,-1,-1,27.25
07000013,7,4.75,6.5,-1,4.85,5.25,-1,-1,-1,-1,-1,-1,-1,-1,21.35
07000014,7,3.5,7.25,7,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,24.75
07000015,7,4,8.25,-1,-1,-1,-1,7.25,7.6,-1,-1,-1,-1,-1,27.1
07000016,7,4.5,7.75,-1,-1,-1,-1,7.5,8.5,-1,-1,-1,-1,-1,28.25
07000017,7,5.75,8,5,-1,-1,-1,4.85,-1,-1,-1,-1,-1,-1,23.6
07000018,7,5.75,8.25,-1,4.6,5.6,-1,-1,-1,-1,-1,-1,-1,-1,24.2
07000019,7,7.5,8,-1,8.25,6.5,-1,-1,-1,-1,-1,-1,-1,-1,30.25
07000020,7,3.5,6.75,-1,-1,-1,-1,6.75,7.5,-1,-1,-1,-1,-1,24.5
07000021,7,6.1,8,5,-1,-1,-1,9.75,-1,-1,-1,-1,-1,-1,28.85
07000022,7,6,8.25,7.25,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6
07000023,7,4.75,8.25,-1,-1,-1,-1,7.25,7.35,-1,-1,-1,-1,-1,27.6
07000024,7,5.5,7.75,5.5,-1,-1,-1,6.5,-1,-1,-1,-1,-1,-1,25.25
07000025,7,5.75,8.75,5.75,-1,5.75,-1,-1,-1,-1,-1,-1,-1,-1,26
07000026,7,5.75,7.75,5.5,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,27.75
07000027,7,3.85,8.5,-1,-1,-1,-1,7.5,7.75,-1,-1,-1,-1,-1,27.6
07000028,7,3.85,5.5,-1,-1,-1,-1,4.85,8,-1,-1,-1,-1,-1,22.2
07000029,7,5.5,5.75,-1,-1,6.75,4.6,-1,-1,-1,-1,-1,-1,-1,22.6
07000030,7,6.25,5.5,6.25,-1,-1,-1,-1,5.25,-1,-1,-1,-1,-1,23.25
07000031,7,4.75,6.5,3.75,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,23
07000032,7,6,9.25,6,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,29
07000033,7,4.25,8.75,-1,-1,-1,-1,8,7.75,-1,-1,-1,-1,-1,28.75
07000034,7,5.1,8.5,-1,-1,-1,-1,7.25,7,-1,-1,-1,-1,-1,27.85
07000035,7,5,6.75,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.75
07000036,7,6.5,8,-1,8.5,7.5,-1,-1,-1,-1,-1,-1,-1,-1,30.5
07000037,7,6.25,8.5,-1,6.1,3.6,-1,-1,-1,-1,-1,-1,-1,-1,24.45
07000038,7,5,8,-1,6.75,6.6,-1,-1,-1,-1,-1,-1,-1,-1,26.35
07000039,7,5.75,7.5,-1,5.1,4.1,-1,-1,-1,-1,-1,-1,-1,-1,22.45
07000040,7,5.75,7.75,2.75,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,24.5
07000041,7,2.6,7.25,4.75,-1,-1,-1,6.1,-1,-1,-1,-1,-1,-1,20.7
07000042,7,4.25,3.75,9,5.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.25
07000043,7,8,9,-1,8.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,33.25
07000044,7,4.35,7,5.5,-1,5.75,-1,-1,-1,-1,-1,-1,-1,-1,22.6
07000045,7,3.6,8,4,-1,-1,-1,-1,7.35,-1,-1,-1,-1,-1,22.95
07000046,7,5.75,8,4.75,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,24
07000047,7,6.25,7.5,5,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,26.5
07000048,7,6.75,6.5,-1,6,5.6,-1,-1,-1,-1,-1,-1,-1,-1,24.85
07000049,7,9,7.75,-1,9,7.5,-1,-1,-1,-1,-1,-1,-1,-1,33.25
07000050,7,5.5,6.75,-1,-1,5,5.85,-1,-1,-1,-1,-1,-1,-1,23.1
07000051,7,4.35,5.75,6.5,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.1
07000052,7,5.25,8.5,-1,-1,-1,-1,9.5,8.75,-1,-1,-1,-1,-1,32
07000053,7,4.25,7.75,-1,-1,-1,-1,7.75,8.5,-1,-1,-1,-1,-1,28.25
07000054,7,3.6,8.5,-1,-1,-1,-1,6.25,6.1,-1,-1,-1,-1,-1,24.45
07000055,7,9,8,-1,9.5,9.25,-1,-1,-1,-1,-1,-1,-1,-1,35.75
07000056,7,6.75,7.5,6.5,6.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.2
07000057,7,6.75,6,7,-1,5.75,-1,-1,-1,-1,-1,-1,-1,-1,25.5
07000058,7,5.25,8.25,4.5,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,25.75
07000059,7,6.5,6.25,-1,10,8.75,-1,-1,-1,-1,-1,-1,-1,-1,31.5
07000060,7,6,5.5,-1,5.7,5.5,-1,-1,-1,-1,-1,-1,-1,-1,22.7
07000061,7,3.6,5.75,-1,-1,-1,5,4.35,-1,-1,-1,-1,-1,-1,18.7
07000062,7,4.75,6.5,-1,7.5,5.75,-1,-1,-1,-1,-1,-1,-1,-1,24.5
07000063,7,5.25,7,-1,7.5,7,-1,-1,-1,-1,-1,-1,-1,-1,26.75
07000064,7,2.35,5.25,-1,-1,-1,-1,5.35,6.25,-1,-1,-1,-1,-1,19.2
07000065,7,4,7,-1,-1,-1,-1,8.25,7.35,-1,-1,-1,-1,-1,26.6
07000066,7,4,6.25,-1,-1,3.35,5.6,-1,-1,-1,-1,-1,-1,-1,19.2
07000067,7,5.5,6.5,-1,6.5,6,-1,-1,-1,-1,-1,-1,-1,-1,24.5
07000068,7,5.25,9.25,6,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,28
07000069,7,3.25,7,-1,4.5,3.35,-1,-1,-1,-1,-1,-1,-1,-1,18.1
07000070,7,6.75,7.75,6,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
07000071,7,3.75,9,-1,-1,-1,-1,9.25,8.5,-1,-1,-1,-1,-1,30.5
07000072,7,5.5,8.25,7.5,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,30.5
07000073,7,5,7.75,-1,-1,-1,-1,9.75,9.25,-1,-1,-1,-1,-1,31.75
07000074,7,4.75,7,4.75,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.5
