SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
17000001,17,3.6,5.75,-1,-1,-1,-1,5.6,7.5,-1,-1,-1,-1,-1,22.45
17000002,17,5.25,6,2.75,-1,4.75,-1,-1,-1,-1,-1,-1,-1,-1,18.75
17000003,17,4.35,4.5,-1,-1,-1,-1,-1,5.35,-1,-1,-1,-1,6.75,20.95
17000004,17,3.45,5,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,8.75,22.45
17000005,17,3.35,7.5,-1,-1,-1,-1,-1,4.7,-1,-1,-1,-1,7.75,23.3
17000006,17,2.35,4.5,-1,-1,-1,-1,2.5,5.1,-1,-1,-1,-1,-1,14.45
17000007,17,2.85,5.25,-1,-1,-1,-1,-1,5.35,-1,-1,-1,-1,6,19.45
17000008,17,4.25,8.25,-1,-1,-1,-1,-1,6.6,-1,-1,-1,-1,6.85,25.95
17000009,17,3.85,5.5,-1,-1,-1,-1,-1,4.25,-1,-1,-1,-1,6.85,20.45
17000010,17,3.95,6.75,-1,-1,-1,-1,-1,6.1,-1,-1,-1,-1,9,25.8
17000011,17,3.6,6.25,-1,-1,-1,-1,7.6,5,-1,-1,-1,-1,-1,22.45
17000012,17,5,7.5,-1,-1,-1,-1,-1,6.6,-1,-1,-1,-1,5.25,24.35
17000013,17,2.75,5.25,-1,-1,-1,-1,7,4.75,-1,-1,-1,-1,-1,19.75
17000014,17,4.6,3.5,-1,-1,-1,-1,-1,4.6,-1,-1,-1,-1,4.6,17.3
17000015,17,4.5,6,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,7.5,23.75
17000016,17,2.35,7.5,-1,-1,-1,-1,7.5,6.5,-1,-1,-1,-1,-1,23.85
17000017,17,2.95,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.25,16.45
17000018,17,4,7,-1,-1,-1,-1,7,6.75,-1,-1,-1,-1,-1,24.75
17000019,17,4.25,4.25,-1,-1,-1,-1,-1,4.35,-1,-1,-1,-1,7.75,20.6
17000020,17,2.7,4.75,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,5,17.7
17000021,17,4.75,5.25,-1,-1,-1,-1,6.85,6.1,-1,-1,-1,-1,-1,22.95
17000022,17,3.35,5.25,-1,-1,-1,-1,7,8.25,-1,-1,-1,-1,-1,23.85
17000023,17,3,4.75,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,7.25,20
17000024,17,3.1,7.25,-1,-1,-1,-1,6.75,4.6,-1,-1,-1,-1,-1,21.7
17000025,17,3.2,7.5,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,16.7
17000026,17,3.85,5.75,-1,-1,-1,-1,-1,6.25,-1,-1,-1,-1,-1,15.85
17000027,17,1.95,6.75,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,8,23.2
17000028,17,2.85,4,-1,-1,-1,-1,3.6,3.85,-1,-1,-1,-1,-1,14.3
17000029,17,3.1,3.25,-1,-1,-1,-1,-1,2.6,-1,-1,-1,-1,5.1,14.05
17000030,17,4.35,8,3.25,-1,4.75,-1,-1,-1,-1,-1,-1,-1,-1,20.35
17000031,17,3.85,4.25,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,7.75,21.1
17000032,17,2.2,6.25,-1,-1,-1,-1,-1,4.85,-1,-1,-1,-1,5.6,18.9
17000033,17,2.25,7,-1,-1,-1,-1,5.6,5.25,-1,-1,-1,-1,-1,20.1
17000034,17,5,7,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,7.5,24.75
17000035,17,5.35,7.75,-1,-1,-1,-1,-1,5.6,-1,-1,-1,-1,6.75,25.45
17000036,17,4.35,5.5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,6.25,20.1
17000037,17,3.75,4.5,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,7.25,20.75
17000038,17,2.1,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,17.35
17000039,17,3.95,7.25,-1,-1,-1,-1,-1,8.1,-1,-1,-1,-1,-1,19.3
17000040,17,2.35,3.5,-1,-1,-1,-1,-1,2.25,-1,-1,-1,-1,3.75,11.85
17000041,17,2.75,5.5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,8,20.25
17000042,17,2.5,5.5,-1,-1,-1,-1,-1,6.1,-1,-1,-1,-1,8,22.1
17000043,17,3.75,7.75,-1,-1,-1,-1,-1,7.6,-1,-1,-1,-1,9.5,28.6
17000044,17,2.25,5.25,-1,-1,-1,-1,4.85,5,-1,-1,-1,-1,-1,17.35
17000045,17,3.85,5.5,-1,-1,-1,-1,-1,4.25,-1,-1,-1,-1,5.1,18.7
17000046,17,4.1,8.5,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,7.75,27.1
17000047,17,3.35,6.25,-1,-1,-1,-1,-1,4.75,-1,-1,-1,-1,6.5,20.85
17000048,17,3.25,9,-1,-1,-1,-1,-1,5.95,-1,-1,-1,-1,9.25,27.45
17000049,17,3.2,6.75,3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.75,21.2
17000050,17,3.85,4.5,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,7.75,22.1
17000051,17,1.85,5.75,-1,-1,-1,-1,-1,4.6,-1,-1,-1,-1,7.5,19.7
17000052,17,2.35,4.5,-1,-1,-1,-1,-1,3.5,-1,-1,-1,-1,6,16.35
17000053,17,3.35,6,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,7.75,22.85
17000054,17,2.1,5.25,-1,-1,-1,-1,7.75,3.35,-1,-1,-1,-1,-1,18.45
17000055,17,4.5,7.5,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,8.25,27.5
17000056,17,3.35,4,-1,-1,-1,-1,-1,7.5,-1,-1,-1,-1,6,20.85
17000057,17,3.35,5.5,-1,-1,-1,-1,3.75,5.75,-1,-1,-1,-1,-1,18.35
17000058,17,4.25,4.75,-1,-1,-1,-1,6.35,4.25,-1,-1,-1,-1,-1,19.6
17000059,17,3.5,6,-1,-1,-1,-1,-1,3.95,-1,-1,-1,-1,5.35,18.8
17000060,17,3.35,4.25,-1,-1,-1,-1,9,7.5,-1,-1,-1,-1,-1,24.1
17000061,17,4.25,6.75,4,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,22.25
17000062,17,2.25,4.5,-1,-1,-1,-1,-1,4.1,-1,-1,-1,-1,8.25,19.1
17000063,17,2.75,5.75,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,6.5,21
17000064,17,2.35,4.75,-1,-1,-1,-1,4.45,-1,-1,-1,-1,-1,4.6,16.15
17000065,17,3.85,5.5,-1,-1,-1,-1,-1,3.35,-1,-1,-1,-1,7.5,20.2
17000066,17,4.35,5.75,-1,-1,-1,-1,-1,4.25,-1,-1,-1,-1,8.75,23.1
17000067,17,3.25,3.5,-1,-1,-1,-1,2.1,-1,-1,-1,-1,-1,4.75,13.6
17000068,17,2.85,6.5,4.5,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,19.35
17000069,17,4,3.75,-1,-1,-1,-1,-1,4.75,-1,-1,-1,-1,5.5,18
17000070,17,2.25,5.75,-1,-1,-1,-1,-1,4.6,-1,-1,-1,-1,5.5,18.1
17000071,17,3.45,6.5,-1,-1,-1,-1,4.85,-1,-1,-1,-1,-1,7.5,22.3
17000072,17,3.1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,18.1
17000073,17,3.2,4.5,-1,-1,-1,-1,-1,4.6,-1,-1,-1,-1,7,19.3
17000074,17,5,6,-1,-1,-1,-1,6.25,-1,-1,-1,-1,-1,7.75,25
17000075,17,4.25,6.75,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,9,28
17000076,17,2.6,5.5,-1,-1,-1,-1,-1,4.75,-1,-1,-1,-1,7.5,20.35
17000077,17,3.5,6,-1,-1,-1,-1,6.6,6.1,-1,-1,-1,-1,-1,22.2
17000078,17,2.45,6,2.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.25,17.95
17000079,17,3.5,2.75,-1,-1,-1,-1,-1,6.25,-1,-1,-1,-1,6.5,19
17000080,17,3.75,5.75,-1,-1,-1,-1,5.75,5,-1,-1,-1,-1,-1,20.25
17000081,17,2.85,4.5,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,7.25,21.1
17000082,17,4.2,3.75,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,8,21.7
17000083,17,2.1,3.5,-1,-1,-1,-1,3.75,5.5,-1,-1,-1,-1,-1,14.85
17000084,17,5.1,8.25,-1,-1,-1,-1,9,8.25,-1,-1,-1,-1,-1,30.6
17000085,17,2.85,7.5,-1,-1,-1,-1,-1,5.1,-1,-1,-1,-1,-1,15.45
17000086,17,2.95,4.25,-1,-1,-1,-1,-1,5.2,-1,-1,-1,-1,7.75,20.15
17000087,17,4.75,6.75,-1,-1,-1,-1,-1,6.1,-1,-1,-1,-1,7,24.6
17000088,17,2.85,6.5,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,-1,15.1
17000089,17,3.6,6.75,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,5.85,22.2
17000090,17,4,6,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,8.5,25.25
17000091,17,3.75,5.25,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,5.5,19.75
17000092,17,3.95,4.75,-1,-1,-1,-1,5.75,5.35,-1,-1,-1,-1,-1,19.8
17000093,17,1.95,6.75,-1,-1,-1,-1,7.25,3.85,-1,-1,-1,-1,-1,19.8
17000094,17,3.6,7.5,3.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.25,22.1
17000095,17,2.45,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,23.45
17000096,17,3.6,7.25,-1,-1,-1,-1,6.6,-1,-1,-1,-1,-1,7,24.45
17000097,17,4.25,7.25,-1,-1,-1,-1,7.25,7.75,-1,-1,-1,-1,-1,26.5
17000098,17,3.1,5.75,-1,-1,-1,-1,-1,4.25,-1,-1,-1,-1,6.5,19.6
17000099,17,4.85,7.5,-1,-1,-1,-1,6.85,-1,-1,-1,-1,-1,8.5,27.7
17000100,17,3.2,6.75,-1,-1,-1,-1,-1,4.75,-1,-1,-1,-1,8.5,23.2
17000101,17,3.6,5.5,-1,-1,-1,-1,6.75,-1,-1,-1,-1,-1,7.5,23.35
17000102,17,3.75,5.25,-1,-1,-1,-1,-1,5.5,-1,-1,-1,-1,4.75,19.25
17000103,17,3.2,6.25,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,7.5,24.7
17000104,17,1.95,4.5,-1,-1,-1,-1,-1,3.1,-1,-1,-1,-1,4.5,14.05
17000105,17,3.75,6.5,-1,-1,-1,4.35,-1,7.1,-1,-1,-1,-1,-1,21.7
17000106,17,5.1,5.25,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,7.5,24.6
17000107,17,3.85,6.5,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,5.75,21.85
17000108,17,2.35,3.25,7,-1,-1,-1,-1,3.75,-1,-1,-1,-1,-1,16.35
17000109,17,3.6,3.5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5.75,16.85
17000110,17,3.75,4.75,-1,-1,-1,-1,-1,4.7,-1,-1,-1,-1,6.25,19.45
17000111,17,2.5,5.5,-1,-1,-1,-1,-1,4.85,-1,-1,-1,-1,6,18.85
17000112,17,2.1,5,-1,-1,-1,-1,4.35,4,-1,-1,-1,-1,-1,15.45
17000113,17,2.1,5,-1,-1,-1,-1,5.5,5.1,-1,-1,-1,-1,-1,17.7
17000114,17,3.45,5,-1,-1,-1,-1,-1,5.7,-1,-1,-1,-1,5.1,19.25
17000115,17,3.5,7,-1,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,18.25
17000116,17,4.25,7.25,6,-1,-1,-1,-1,5.6,-1,-1,-1,-1,-1,23.1
17000117,17,3.25,5,-1,-1,-1,-1,6.1,4.5,-1,-1,-1,-1,-1,18.85
17000118,17,4.75,8.75,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,25.5
17000119,17,1.15,8.5,-1,-1,-1,-1,6.1,6,-1,-1,-1,-1,-1,21.75
17000120,17,3.85,6,-1,-1,-1,-1,6.1,-1,-1,-1,-1,-1,6.5,22.45
17000121,17,3.35,6,-1,-1,-1,-1,7.75,5.85,-1,-1,-1,-1,-1,22.95
17000122,17,3.35,6.5,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,6.5,21.6
17000123,17,3.35,6,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,4.75,21.1
17000124,17,3.75,4.5,-1,-1,-1,-1,-1,5.5,-1,-1,-1,-1,6,19.75
17000125,17,3.35,7.5,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,21.35
17000126,17,3.45,6.5,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,6.5,21.95
17000127,17,1.85,5,-1,-1,-1,-1,-1,6.1,-1,-1,-1,-1,7.5,20.45
17000128,17,1.6,7.5,-1,-1,-1,-1,3.85,4.5,-1,-1,-1,-1,-1,17.45
