SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
61000001,61,3.2,6.25,-1,-1,-1,-1,6.5,7.25,-1,-1,-1,-1,-1,23.2
61000002,61,3.45,6.5,-1,-1,-1,-1,6.75,-1,-1,-1,-1,-1,8.5,25.2
61000003,61,5.5,6.75,-1,-1,-1,-1,-1,8.75,-1,-1,-1,-1,10,31
61000004,61,2.75,6,-1,-1,-1,-1,5.85,5.85,-1,-1,-1,-1,-1,20.45
61000005,61,8.25,5.75,-1,9.75,9.75,-1,-1,-1,-1,-1,-1,-1,-1,33.5
61000006,61,2.75,4.5,4,-1,-1,-1,-1,4.1,-1,-1,-1,-1,-1,15.35
61000007,61,6.25,8.25,-1,7.6,7.5,-1,-1,-1,-1,-1,-1,-1,-1,29.6
61000008,61,4,6,7.75,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.95
61000009,61,8.5,7.5,-1,-1,9.25,8,-1,-1,-1,-1,-1,-1,-1,33.25
61000010,61,8.5,6.75,-1,-1,10,8.5,-1,-1,-1,-1,-1,-1,-1,33.75
61000011,61,5.5,7.25,5,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,26
61000012,61,9,7.75,7.5,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.25
61000013,61,6.25,7,7,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.5
61000014,61,6,7.5,5,-1,5.75,-1,-1,-1,-1,-1,-1,-1,-1,24.25
61000015,61,5.25,8.25,5.5,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,26.75
61000016,61,3,7.25,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,8,26.25
61000017,61,7,7.75,6.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.5
61000018,61,5.1,8,4.75,-1,-1,5.2,-1,-1,-1,-1,-1,-1,-1,23.05
61000019,61,5.75,5.5,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.25,24
61000020,61,5,8.75,8.25,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,32
61000021,61,6.25,6.5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,26.5
61000022,61,8,6.5,-1,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,32.25
61000023,61,7.5,6.25,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
61000024,61,9,8.25,-1,-1,8.5,6.75,-1,-1,-1,-1,-1,-1,-1,32.5
61000025,61,4,6,-1,-1,-1,-1,6.25,5.35,-1,-1,-1,-1,-1,21.6
61000026,61,1.7,5,-1,-1,-1,-1,3.25,4,-1,-1,-1,-1,-1,13.95
61000027,61,3,5,-1,-1,-1,5.75,6.25,-1,-1,-1,-1,-1,-1,20
61000028,61,8.5,5.25,-1,8.75,7.75,-1,-1,-1,-1,-1,-1,-1,-1,30.25
61000029,61,9.5,6.5,-1,-1,8.75,7,-1,-1,-1,-1,-1,-1,-1,31.75
61000030,61,9,8.75,-1,9.5,9.5,-1,-1,-1,-1,-1,-1,-1,-1,36.75
61000031,61,7.75,7.75,-1,-1,8.75,8.75,-1,-1,-1,-1,-1,-1,-1,33
61000032,61,9,6.5,-1,8.75,7.25,-1,-1,-1,-1,-1,-1,-1,-1,31.5
61000033,61,7,8.25,7.5,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,31.25
61000034,61,6,8,8,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.25
61000035,61,5.6,7,-1,-1,6.6,7,-1,-1,-1,-1,-1,-1,-1,26.2
61000036,61,4.1,7.75,-1,-1,-1,7.1,8,-1,-1,-1,-1,-1,-1,26.95
61000037,61,6.1,7,-1,6.75,6.25,-1,-1,-1,-1,-1,-1,-1,-1,26.1
61000038,61,5.25,7.5,-1,-1,-1,-1,8,7.75,-1,-1,-1,-1,-1,28.5
61000039,61,2.2,6.75,-1,-1,-1,-1,5.5,6.5,-1,-1,-1,-1,-1,20.95
61000040,61,4.1,6.75,-1,5.6,4.7,-1,-1,-1,-1,-1,-1,-1,-1,21.15
61000041,61,1.85,6.5,-1,-1,-1,-1,6.1,3.5,-1,-1,-1,-1,-1,17.95
61000042,61,7.75,7.75,-1,-1,7,8.25,-1,-1,-1,-1,-1,-1,-1,30.75
61000043,61,4.25,8.25,-1,6,4.25,-1,-1,-1,-1,-1,-1,-1,-1,22.75
61000044,61,5,6.75,8.75,-1,-1,-1,-1,7.5,-1,-1,-1,-1,-1,28
61000045,61,6.25,8,6,-1,-1,-1,-1,8.75,-1,-1,-1,-1,-1,29
61000046,61,4.25,8.5,-1,-1,-1,-1,7.75,9.25,-1,-1,-1,-1,-1,29.75
61000047,61,2.45,5.75,-1,-1,-1,-1,-1,5.1,-1,-1,-1,-1,6.5,19.8
61000048,61,3.85,7.75,-1,-1,-1,-1,9.25,10,-1,-1,-1,-1,-1,30.85
61000049,61,1.35,7.5,-1,4.75,-1,-1,5.75,-1,-1,-1,-1,-1,-1,19.35
61000050,61,4.75,8.25,-1,-1,-1,5.35,8.75,-1,-1,-1,-1,-1,-1,27.1
61000051,61,2.75,5,-1,-1,-1,-1,6.85,7.1,-1,-1,-1,-1,-1,21.7
61000052,61,2.1,5.25,-1,-1,-1,-1,4,5.25,-1,-1,-1,-1,-1,16.6
61000053,61,9,6.5,-1,-1,9.5,9.5,-1,-1,-1,-1,-1,-1,-1,34.5
61000054,61,5.6,6.75,7,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.85
61000055,61,6.1,5.5,-1,-1,8,8,-1,-1,-1,-1,-1,-1,-1,27.6
61000056,61,4,8.5,5.25,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,26.5
61000057,61,1.45,5,-1,3.5,-1,-1,2.6,-1,-1,-1,-1,-1,-1,12.55
61000058,61,7.25,7,-1,-1,8.75,8.25,-1,-1,-1,-1,-1,-1,-1,31.25
61000059,61,2.95,6.5,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,7.75,23.7
61000060,61,2.6,7,-1,-1,-1,-1,6.6,7.25,-1,-1,-1,-1,-1,23.45
61000061,61,7.25,8.5,-1,7.25,7.5,-1,-1,-1,-1,-1,-1,-1,-1,30.5
61000062,61,6.25,6.75,3.5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.5
