SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
46000001,46,4.25,3.25,-1,-1,-1,-1,5.25,4.5,-1,-1,-1,-1,-1,17.25
46000002,46,3.5,3.75,-1,-1,-1,-1,5.6,3.6,-1,-1,-1,-1,-1,16.45
46000003,46,3,3.5,-1,-1,-1,-1,4.35,5.25,-1,-1,-1,-1,-1,16.1
46000004,46,6.6,7,-1,-1,8.25,8.25,-1,-1,-1,-1,-1,-1,-1,30.1
46000005,46,9,8,-1,-1,10,9.25,-1,-1,-1,-1,-1,-1,-1,36.25
46000006,46,8,-1,-1,-1,7.5,8.75,-1,-1,-1,-1,-1,-1,-1,24.25
46000007,46,4.75,6.5,-1,4.95,2.45,-1,-1,-1,-1,-1,-1,-1,-1,18.65
46000008,46,2.45,6,-1,-1,-1,-1,3.8,5.75,-1,-1,-1,-1,-1,18
46000009,46,3,7.5,-1,-1,-1,-1,5.6,6.85,-1,-1,-1,-1,-1,22.95
46000010,46,6.5,7.5,-1,-1,9.25,6.85,-1,-1,-1,-1,-1,-1,-1,30.1
46000011,46,4.2,7,-1,-1,-1,-1,5,5.85,-1,-1,-1,-1,-1,22.05
46000012,46,3.75,4.75,-1,-1,-1,-1,4.1,5.1,-1,-1,-1,-1,-1,17.7
46000013,46,2,3.75,-1,-1,-1,-1,4,6.35,-1,-1,-1,-1,-1,16.1
46000014,46,4.1,7.25,-1,-1,-1,-1,6,5.75,-1,-1,-1,-1,-1,23.1
46000015,46,4.75,7.5,-1,-1,4.75,4.35,-1,-1,-1,-1,-1,-1,-1,21.35
46000016,46,4.25,5.5,-1,-1,-1,-1,4.5,4.1,-1,-1,-1,-1,-1,18.35
46000017,46,2.75,6.5,-1,-1,-1,-1,4.25,5.1,-1,-1,-1,-1,-1,18.6
46000018,46,1.6,6.25,-1,-1,-1,-1,6,7.35,-1,-1,-1,-1,-1,21.2
46000019,46,2.85,6.5,-1,-1,-1,-1,6.75,8,-1,-1,-1,-1,-1,24.1
46000020,46,4.5,7,-1,-1,7.5,5.45,-1,-1,-1,-1,-1,-1,-1,24.45
46000021,46,7.5,8.25,-1,-1,9.25,7.5,-1,-1,-1,-1,-1,-1,-1,32.5
46000022,46,3.1,6.25,-1,-1,-1,-1,6.25,6,-1,-1,-1,-1,-1,21.6
46000023,46,3.1,5.75,-1,-1,-1,-1,5.25,6.5,-1,-1,-1,-1,-1,20.6
46000024,46,2.6,6.5,-1,-1,-1,-1,6.1,6.75,-1,-1,-1,-1,-1,21.95
46000025,46,4.5,7.75,-1,-1,4.35,4.1,-1,-1,-1,-1,-1,-1,-1,20.7
46000026,46,1.95,4.5,-1,-1,-1,-1,3.85,4.85,-1,-1,-1,-1,-1,15.15
46000027,46,1.85,6,-1,-1,-1,-1,7.25,6.85,-1,-1,-1,-1,-1,21.95
