SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
24000001,24,5.5,4.75,-1,3.85,5.5,-1,-1,-1,-1,-1,-1,-1,-1,19.6
24000002,24,5.1,8.75,4.5,-1,-1,-1,8.5,-1,-1,-1,-1,-1,-1,26.85
24000003,24,7.25,7.75,6.75,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5
24000004,24,5,7,-1,-1,-1,-1,7.5,-1,-1,-1,-1,-1,9.25,28.75
24000005,24,9,8,8.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.75
24000006,24,8.75,6.25,7.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.75
24000007,24,5.75,7.25,5,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,26
24000008,24,6.75,8,8.5,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,31.5
24000009,24,9.25,8,-1,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.75
24000010,24,8.5,7.75,4.75,-1,7.75,-1,-1,-1,-1,-1,-1,-1,-1,28.75
24000011,24,5,9,5.75,-1,-1,-1,6.75,-1,-1,-1,-1,-1,-1,26.5
24000012,24,8.25,8,5.75,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.25
24000013,24,4.35,5.75,-1,-1,6.25,4.5,-1,-1,-1,-1,-1,-1,-1,20.85
24000014,24,5.25,9.25,5.75,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,28.25
24000015,24,7.25,7.5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,31
24000016,24,9.25,7,8.25,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,34
24000017,24,7,7.75,5.5,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.75
24000018,24,6,8.5,6.5,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,28.5
24000019,24,4.35,6.5,-1,-1,-1,-1,-1,8.75,-1,-1,-1,-1,6.5,26.1
24000020,24,4.45,7.75,2.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,23.7
24000021,24,7,6.25,6.25,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.25
24000022,24,6.75,8.75,3.25,-1,-1,-1,-1,7.5,-1,-1,-1,-1,-1,26.25
24000023,24,4.75,8.75,-1,-1,-1,-1,8.25,9.75,-1,-1,-1,-1,-1,31.5
24000024,24,9.5,7.75,-1,-1,8.75,8.75,-1,-1,-1,-1,-1,-1,-1,34.75
24000025,24,8.5,8,7.25,-1,9.75,-1,-1,-1,-1,-1,-1,-1,-1,33.5
24000026,24,8.5,8.5,6.75,5.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.5
24000027,24,6.25,7.5,7,-1,-1,-1,-1,8.75,-1,-1,-1,-1,-1,29.5
24000028,24,8.5,6.25,7.25,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.1
24000029,24,7.75,8.25,7,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.75
24000030,24,5.5,8,6.5,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,29
24000031,24,7,8.5,7.75,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,32.5
24000032,24,8.5,7.5,-1,8.25,8.25,-1,-1,-1,-1,-1,-1,-1,-1,32.5
24000033,24,3.5,5.75,-1,4,4.35,-1,-1,-1,-1,-1,-1,-1,-1,17.6
24000034,24,3.35,7.25,-1,5.25,6.5,-1,-1,-1,-1,-1,-1,-1,-1,22.35
24000035,24,9,7,-1,9.5,-1,-1,-1,-1,-1,9.75,-1,-1,-1,35.25
24000036,24,8.5,8,7.25,-1,-1,6.5,-1,-1,-1,-1,-1,-1,-1,30.25
24000037,24,3.85,7.25,5.75,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,25.1
24000038,24,5.5,8.25,6.25,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,29
24000039,24,4.1,7.5,-1,-1,-1,-1,9.75,8.5,-1,-1,-1,-1,-1,29.85
24000040,24,5.5,8,4.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,26.5
24000041,24,7.25,8,6,-1,-1,7.25,-1,-1,-1,-1,-1,-1,-1,28.5
24000042,24,8.5,6.25,-1,9,8.5,-1,-1,-1,-1,-1,-1,-1,-1,32.25
24000043,24,8,8,7.25,-1,-1,-1,-1,-1,-1,9.5,-1,-1,-1,32.75
24000044,24,4.85,7.5,-1,5.1,3.25,-1,-1,-1,-1,-1,-1,-1,-1,20.7
24000045,24,7.5,9.25,8.25,-1,-1,-1,8.5,-1,-1,-1,-1,-1,-1,33.5
24000046,24,6.75,7.5,6.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.5
