SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
56000001,56,7,7.5,7,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.25
56000002,56,5.75,6.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,26
56000003,56,7,7.5,5.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,27
56000004,56,4.85,7.25,-1,6.5,-1,-1,-1,8,-1,-1,-1,-1,-1,26.6
56000005,56,6.5,8,-1,7.6,7.25,-1,-1,-1,-1,-1,-1,-1,-1,29.35
56000006,56,4.35,6.75,5.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,24.35
56000007,56,4.75,8.25,5.5,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,27.5
56000008,56,7.25,8.5,5,-1,-1,-1,-1,9.5,-1,-1,-1,-1,-1,30.25
56000009,56,5.6,6.25,-1,7.75,-1,-1,-1,7.6,-1,-1,-1,-1,-1,27.2
56000010,56,4.5,6.75,5.25,-1,3.6,-1,-1,-1,-1,-1,-1,-1,-1,20.1
56000011,56,8.5,9,-1,10,9.25,-1,-1,-1,-1,-1,-1,-1,-1,36.75
56000012,56,5.75,7.5,-1,7.6,7.5,-1,-1,-1,-1,-1,-1,-1,-1,28.35
56000013,56,5.25,5.5,-1,-1,-1,4.5,4.35,-1,-1,-1,-1,-1,-1,19.6
56000014,56,4.85,5,-1,5.25,2.6,-1,-1,-1,-1,-1,-1,-1,-1,17.7
56000015,56,4.5,7,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,8.75,27
56000016,56,5.75,6,-1,6.1,4.2,-1,-1,-1,-1,-1,-1,-1,-1,22.05
56000017,56,5.35,7.5,4.5,7.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.45
56000018,56,8.5,7.75,4.25,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
56000019,56,8.25,7.75,-1,8.25,6.5,-1,-1,-1,-1,-1,-1,-1,-1,30.75
56000020,56,5,6.25,-1,-1,-1,-1,-1,7.85,-1,-1,-1,-1,8.5,27.6
56000021,56,6.75,8.75,7.25,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,31.25
56000022,56,5.25,8.5,-1,7.35,-1,-1,8.75,-1,-1,-1,-1,-1,-1,29.85
56000023,56,7.25,7.25,6.75,6.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.6
56000024,56,6.25,7.25,4.5,-1,-1,-1,-1,8.75,-1,-1,-1,-1,-1,26.75
56000025,56,5.75,7.25,-1,-1,-1,4.55,7.25,-1,-1,-1,-1,-1,-1,24.8
56000026,56,5.25,7.25,-1,-1,-1,-1,-1,6.85,-1,-1,-1,-1,7.75,27.1
56000027,56,5.5,7,-1,-1,-1,-1,9.25,9.5,-1,-1,-1,-1,-1,31.25
56000028,56,6.25,7.5,3.75,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.75
