SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
62000001,62,5.5,7,-1,5.1,5.35,-1,-1,-1,-1,-1,-1,-1,-1,22.95
62000002,62,3.6,8,2.75,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,20.35
62000003,62,4.85,7.75,-1,4.5,-1,-1,5.75,-1,-1,-1,-1,-1,-1,22.85
62000004,62,2.25,6,-1,-1,2.35,-1,5.1,-1,-1,-1,-1,-1,-1,15.7
62000005,62,2.6,5,-1,-1,-1,-1,4.85,-1,-1,-1,-1,-1,7.75,20.2
62000006,62,5.25,8.25,6,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,27.25
62000007,62,5.85,8.25,-1,-1,6.75,7.35,-1,-1,-1,-1,-1,-1,-1,28.2
62000008,62,4.75,7.5,-1,-1,-1,-1,9.75,8.5,-1,-1,-1,-1,-1,30.5
62000009,62,4.35,7.75,4.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.35
62000010,62,3.75,6,-1,-1,-1,-1,6.25,7.5,-1,-1,-1,-1,-1,23.5
62000011,62,3.25,6.75,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.75,20.75
62000012,62,3.85,6,-1,-1,-1,-1,6.25,6.75,-1,-1,-1,-1,-1,22.85
62000013,62,2.35,8.5,-1,-1,-1,-1,7.5,8,-1,-1,-1,-1,-1,26.35
62000014,62,7.5,4.75,6.25,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.75
62000015,62,3.85,6,-1,-1,-1,-1,6.25,6,-1,-1,-1,-1,-1,22.1
62000016,62,4,7.25,4.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,25
62000017,62,6.75,5.25,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,29.75
62000018,62,3.6,8.25,3.5,-1,5.25,-1,-1,-1,-1,-1,-1,-1,-1,20.6
62000019,62,2.25,6,4.75,-1,-1,-1,7.25,-1,-1,-1,-1,-1,-1,20.25
62000020,62,4.1,6.5,4.5,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.6
62000021,62,6.25,7.75,6.5,6.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.1
62000022,62,3.25,7.25,-1,-1,-1,-1,6.5,6.75,-1,-1,-1,-1,-1,23.75
62000023,62,3,5,5,-1,-1,-1,5.1,-1,-1,-1,-1,-1,-1,18.1
62000024,62,4.75,6.5,-1,-1,-1,-1,8,7.85,-1,-1,-1,-1,-1,27.1
62000025,62,5.25,8,-1,-1,-1,-1,8.75,9.25,-1,-1,-1,-1,-1,31.25
62000026,62,4,7.5,-1,4.75,2.75,-1,-1,-1,-1,-1,-1,-1,-1,19
62000027,62,3.75,-1,4.5,4.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
62000028,62,3.75,5.75,-1,-1,5.1,4.5,-1,-1,-1,-1,-1,-1,-1,19.1
62000029,62,8.25,7.25,-1,-1,7,5.75,-1,-1,-1,-1,-1,-1,-1,28.25
62000030,62,6.25,7.75,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,27
62000031,62,6,7.25,4.5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.75
62000032,62,5.1,7,-1,7.75,5.75,-1,-1,-1,-1,-1,-1,-1,-1,25.6
62000033,62,5.5,7.5,4.75,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,25.75
62000034,62,3.2,7.5,4,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,20.7
62000035,62,2.75,4.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,20.5
62000036,62,5.6,5.75,-1,5.1,3.25,-1,-1,-1,-1,-1,-1,-1,-1,19.7
62000037,62,7.5,5.75,-1,7.25,6.75,-1,-1,-1,-1,-1,-1,-1,-1,27.25
62000038,62,5.25,7.75,3.75,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,24
62000039,62,6,7,-1,6.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,25.25
62000040,62,4.1,6.25,-1,-1,-1,-1,6,4.95,-1,-1,-1,-1,-1,21.3
62000041,62,2.7,5,-1,5.25,-1,-1,8,-1,-1,-1,-1,-1,-1,20.95
62000042,62,5,7.5,3.5,-1,4.5,-1,-1,-1,-1,-1,-1,-1,-1,20.5
62000043,62,4.5,6.5,6,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,25.25
62000044,62,4.25,6.25,8.25,-1,4.1,-1,-1,-1,-1,-1,-1,-1,-1,22.85
62000045,62,6,8.25,4.5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.75
62000046,62,2.85,7.5,-1,-1,-1,-1,7.75,7.6,-1,-1,-1,-1,-1,25.7
62000047,62,4.1,5,4.25,-1,3.1,-1,-1,-1,-1,-1,-1,-1,-1,16.45
62000048,62,2.35,7,-1,-1,-1,-1,8.25,8.5,-1,-1,-1,-1,-1,26.1
62000049,62,5,5.75,-1,-1,6.85,5.85,-1,-1,-1,-1,-1,-1,-1,23.45
62000050,62,4.1,5.5,-1,-1,4.25,5.45,-1,-1,-1,-1,-1,-1,-1,19.3
62000051,62,5.75,5.5,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,24
