SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
35000001,35,7,5.75,5,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.5
35000002,35,3.1,4.75,-1,4.85,-1,-1,-1,-1,-1,-1,-1,-1,7.5,20.2
35000003,35,9,5.75,5.75,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
35000004,35,6.25,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,33.25
35000005,35,3,7,-1,-1,-1,-1,5,7,-1,-1,-1,-1,-1,22
35000006,35,5,7,-1,-1,-1,-1,-1,7.5,-1,-1,-1,-1,7.25,26.75
35000007,35,3.75,6.25,2.75,-1,-1,-1,5.25,-1,-1,-1,-1,-1,-1,18
35000008,35,3.1,7.5,-1,-1,-1,-1,4.05,-1,-1,-1,-1,-1,6.75,21.4
35000009,35,4,8.75,4.25,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.25
35000010,35,5.75,7,-1,5.75,3.7,-1,-1,-1,-1,-1,-1,-1,-1,22.2
35000011,35,3.5,6,-1,-1,-1,-1,5.75,4.85,-1,-1,-1,-1,-1,20.1
35000012,35,4.5,7.75,-1,6,-1,-1,7.75,-1,-1,-1,-1,-1,-1,26
35000013,35,3,7,-1,-1,-1,-1,4.75,5,-1,-1,-1,-1,-1,19.75
35000014,35,5.5,8,-1,-1,3.95,4.6,-1,-1,-1,-1,-1,-1,-1,22.05
35000015,35,3.35,6.5,-1,-1,-1,-1,5.5,6.75,-1,-1,-1,-1,-1,22.1
35000016,35,3.75,6,-1,-1,-1,-1,4.1,6,-1,-1,-1,-1,-1,19.85
35000017,35,4,8,-1,-1,-1,-1,6.25,8,-1,-1,-1,-1,-1,26.25
35000018,35,5.25,7.42,-1,-1,-1,-1,6,7.5,-1,-1,-1,-1,-1,26.17
35000019,35,5.85,7.25,-1,6.5,5.35,-1,-1,-1,-1,-1,-1,-1,-1,24.95
35000020,35,5.5,8.75,5.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,29.25
35000021,35,2.25,5.75,-1,-1,-1,-1,6,6.25,-1,-1,-1,-1,-1,20.25
35000022,35,4.5,6.75,-1,7,3.75,-1,-1,-1,-1,-1,-1,-1,-1,22
35000023,35,5.25,8.5,4.25,-1,-1,-1,6.35,-1,-1,-1,-1,-1,-1,24.35
35000024,35,5.75,8.5,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,28
35000025,35,5.1,7.25,-1,5.25,4.25,-1,-1,-1,-1,-1,-1,-1,-1,21.85
35000026,35,4.5,8,-1,5.5,3.25,-1,-1,-1,-1,-1,-1,-1,-1,21.25
35000027,35,3.75,8,-1,-1,-1,-1,6.25,7.75,-1,-1,-1,-1,-1,25.75
35000028,35,4.5,8,-1,-1,-1,-1,7.75,8.25,-1,-1,-1,-1,-1,28.5
35000029,35,8,7,6.25,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.75
35000030,35,4.85,7.5,-1,7.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,25.6
35000031,35,6.85,4,-1,8,7.25,-1,-1,-1,-1,-1,-1,-1,-1,26.1
35000032,35,5.5,5.5,-1,-1,-1,-1,-1,6.2,-1,-1,-1,-1,7.5,24.7
35000033,35,2.35,5.5,-1,-1,-1,-1,7.75,6.25,-1,-1,-1,-1,-1,21.85
35000034,35,5.5,6.5,-1,5.5,5.25,-1,-1,-1,-1,-1,-1,-1,-1,22.75
35000035,35,3.75,4.5,-1,-1,-1,-1,6,6.75,-1,-1,-1,-1,-1,21
35000036,35,3.5,5,-1,-1,-1,-1,5.1,5.35,-1,-1,-1,-1,-1,18.95
35000037,35,8,8.75,-1,-1,8.75,8,-1,-1,-1,-1,-1,-1,-1,33.5
35000038,35,3.75,4,-1,-1,-1,-1,5,5.25,-1,-1,-1,-1,-1,18
35000039,35,4.25,6.5,3.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
35000040,35,4.75,7.5,-1,6.25,6,-1,-1,-1,-1,-1,-1,-1,-1,24.5
35000041,35,5,7.75,-1,3.35,-1,-1,8.5,-1,-1,-1,-1,-1,-1,24.6
35000042,35,3.75,6.5,-1,4.1,3.35,-1,-1,-1,-1,-1,-1,-1,-1,17.7
35000043,35,3.85,8,-1,-1,-1,-1,-1,5.25,-1,-1,-1,-1,7.5,24.6
35000044,35,5.75,8.25,5.25,-1,4.85,-1,-1,-1,-1,-1,-1,-1,-1,24.1
35000045,35,5.5,7.75,-1,-1,-1,-1,6,7.25,-1,-1,-1,-1,-1,26.5
35000046,35,1.45,6.5,-1,-1,-1,-1,3.95,-1,-1,-1,-1,-1,4.75,16.65
35000047,35,2.6,3.25,-1,-1,-1,-1,4.7,8,-1,-1,-1,-1,-1,18.55
35000048,35,2.35,4,-1,-1,-1,-1,4.75,3.5,-1,-1,-1,-1,-1,14.6
35000049,35,2.1,5.25,-1,-1,-1,-1,3.5,4.6,-1,-1,-1,-1,-1,15.45
35000050,35,5,6.75,-1,7.35,7.25,-1,-1,-1,-1,-1,-1,-1,-1,26.35
35000051,35,7.25,4,-1,7.25,5.25,-1,-1,-1,-1,-1,-1,-1,-1,23.75
35000052,35,7.5,7.25,-1,8,5.5,-1,-1,-1,-1,-1,-1,-1,-1,28.25
35000053,35,3.5,5,-1,-1,-1,-1,-1,4.45,-1,-1,-1,-1,5.25,18.2
35000054,35,3.85,7.25,-1,-1,-1,-1,6.75,7.5,-1,-1,-1,-1,-1,25.35
35000055,35,3.7,8.75,-1,-1,-1,-1,7.25,9.25,-1,-1,-1,-1,-1,28.95
35000056,35,4.75,6.5,-1,-1,-1,-1,5.1,7.85,-1,-1,-1,-1,-1,24.2
35000057,35,7,8.25,7,-1,7.75,-1,-1,-1,-1,-1,-1,-1,-1,30
35000058,35,3.75,6,-1,5.75,6.1,-1,-1,-1,-1,-1,-1,-1,-1,21.6
35000059,35,3.7,3.25,-1,5,-1,-1,-1,6,-1,-1,-1,-1,-1,17.95
35000060,35,7.75,9,6,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.25
35000061,35,5.5,7.75,-1,6.5,6.5,-1,-1,-1,-1,-1,-1,-1,-1,26.25
35000062,35,5.75,5.75,-1,6.75,4.5,-1,-1,-1,-1,-1,-1,-1,-1,22.75
35000063,35,5.1,7.75,-1,7.25,6.25,-1,-1,-1,-1,-1,-1,-1,-1,26.35
35000064,35,5.25,8.25,-1,-1,-1,-1,7.5,7.25,-1,-1,-1,-1,-1,28.25
35000065,35,4.5,8.75,5.25,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,25.75
35000066,35,4,4.25,-1,-1,-1,-1,4.25,6.35,-1,-1,-1,-1,-1,18.85
35000068,35,3.35,5.75,-1,4.75,-1,-1,-1,-1,-1,-1,-1,-1,7,20.85
35000069,35,4.6,5.5,-1,6,4.5,-1,-1,-1,-1,-1,-1,-1,-1,20.6
35000070,35,5,7.59,-1,6,5,-1,-1,-1,-1,-1,-1,-1,-1,23.59
35000071,35,3.45,5,-1,-1,-1,-1,-1,5.5,-1,-1,-1,-1,6.75,20.7
35000072,35,3.75,5.75,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,7.25,21.75
35000073,35,3,6,-1,-1,-1,-1,-1,5.6,-1,-1,-1,-1,8.5,23.1
35000074,35,5.75,8,-1,5.75,-1,-1,-1,-1,-1,-1,-1,-1,7.5,27
35000075,35,7,7.5,-1,7,6,-1,-1,-1,-1,-1,-1,-1,-1,27.5
35000076,35,2.1,4,-1,-1,-1,-1,5.75,5.6,-1,-1,-1,-1,-1,17.45
35000077,35,4.1,7.5,3.75,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,23.1
35000079,35,3.25,7.25,5.25,-1,-1,-1,-1,9.25,-1,-1,-1,-1,-1,25
35000080,35,5.25,6.25,-1,6.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,25.75
35000081,35,3.25,5.25,-1,-1,-1,-1,6,6.5,-1,-1,-1,-1,-1,21
35000082,35,4.75,6.5,-1,-1,-1,6.35,-1,7.75,-1,-1,-1,-1,-1,25.35
35000083,35,4.75,7.5,-1,-1,-1,-1,5.5,8,-1,-1,-1,-1,-1,25.75
35000084,35,4,9,3.5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.5
35000085,35,4.5,8.25,5,-1,-1,-1,7.35,-1,-1,-1,-1,-1,-1,25.1
35000086,35,3.75,7.75,-1,5.25,-1,-1,-1,-1,-1,-1,-1,-1,8.75,25.5
35000087,35,5.5,7.75,-1,5.5,4.75,-1,-1,-1,-1,-1,-1,-1,-1,23.5
35000088,35,2.85,7.25,-1,5.75,-1,-1,-1,8.25,-1,-1,-1,-1,-1,24.1
