SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
55000001,55,8.1,7.25,-1,-1,6,6.1,-1,-1,-1,-1,-1,-1,-1,27.45
55000002,55,4.75,7,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,9,27.5
55000003,55,3.35,7,-1,5.85,-1,-1,5.1,-1,-1,-1,-1,-1,-1,21.3
55000004,55,4.85,7.5,-1,-1,-1,-1,-1,6.85,-1,-1,-1,-1,8,27.2
55000005,55,4.1,7.25,4.75,-1,-1,-1,7.25,-1,-1,-1,-1,-1,-1,23.35
55000006,55,3.75,7.75,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,8,25
55000007,55,5.5,7,-1,-1,-1,5.25,6.5,-1,-1,-1,-1,-1,-1,24.25
55000008,55,5.5,7.5,-1,-1,6,7.25,-1,-1,-1,-1,-1,-1,-1,26.25
55000009,55,4.25,8.25,-1,-1,-1,-1,-1,9.25,-1,-1,-1,-1,10,31.75
55000010,55,3.75,7.5,-1,-1,-1,-1,-1,7.25,-1,-1,-1,-1,7.75,26.25
55000011,55,3.6,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,7.5,25.6
55000012,55,5.25,7.5,-1,-1,-1,-1,7.5,-1,-1,-1,-1,9,-1,29.25
55000013,55,3.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.6,5.75,22.6
55000014,55,5.75,8.5,-1,-1,7.5,7.1,-1,-1,-1,-1,-1,-1,-1,28.85
55000015,55,3.1,5,-1,-1,-1,-1,-1,4.75,-1,-1,-1,-1,7.75,20.6
55000016,55,5.75,8,4,5.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.1
55000017,55,2.5,6.75,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,8.75,25
55000018,55,3.6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,7.25,24.6
55000019,55,4.35,7.75,-1,-1,-1,-1,-1,6.25,-1,-1,-1,-1,6.5,24.85
55000020,55,3.35,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6.75,21.6
55000021,55,5.75,7.25,4.75,-1,-1,6.75,-1,-1,-1,-1,-1,-1,-1,24.5
55000022,55,3.75,6.25,-1,6.35,-1,-1,-1,-1,-1,-1,-1,-1,8,24.35
55000023,55,5.5,7.25,-1,-1,-1,-1,-1,8.35,-1,-1,-1,-1,8.25,29.35
55000024,55,3.75,5.5,-1,-1,-1,-1,-1,4.35,-1,-1,-1,-1,7.25,20.85
55000025,55,1.6,5.5,-1,-1,-1,-1,-1,8.25,-1,-1,-1,-1,8.25,23.6
55000026,55,7.5,8,-1,7.6,-1,-1,-1,-1,-1,9.25,-1,-1,-1,32.35
55000027,55,5.25,7.75,-1,7,6.75,-1,-1,-1,-1,-1,-1,-1,-1,26.75
55000028,55,2.35,5.25,-1,-1,-1,-1,-1,6.25,-1,-1,-1,-1,7,20.85
55000029,55,2.5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.75,7,22.25
55000030,55,3.75,5.75,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,8,24.5
55000031,55,4.75,6,-1,-1,-1,-1,5.35,-1,-1,-1,4.6,-1,-1,20.7
55000032,55,4.75,6.75,4.75,7.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.6
55000033,55,4.35,5.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,7.75,25.85
55000034,55,2.85,6.75,-1,-1,3.6,5.35,-1,-1,-1,-1,-1,-1,-1,18.55
55000035,55,2.35,6.25,-1,4.75,-1,4.75,-1,-1,-1,-1,-1,-1,-1,18.1
55000036,55,2.1,7,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,7,23.1
55000037,55,4.25,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,7,25.75
55000038,55,5.1,6,-1,-1,-1,-1,5.1,-1,-1,-1,-1,8.25,-1,24.45
55000039,55,4.6,7,5.75,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.6
55000040,55,3.45,7.5,4,-1,-1,5.25,-1,-1,-1,-1,-1,-1,-1,20.2
55000041,55,3.6,6.5,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,8,23.6
55000042,55,5.5,8.25,6,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.25
55000043,55,5,8,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,8.25,29.75
55000044,55,2.35,6.25,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,8.5,26.1
55000045,55,4.75,7,-1,-1,-1,-1,-1,-1,-1,7.85,8.25,-1,-1,27.85
55000046,55,3.45,6.5,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,8,24.45
55000047,55,4.25,6.75,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,9.25,27.25
55000048,55,3,6.5,-1,-1,-1,-1,-1,5.75,-1,-1,-1,-1,6.25,21.5
55000049,55,6.5,5.75,3.75,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,24
55000050,55,2.6,6.5,-1,-1,-1,-1,-1,6.75,-1,-1,-1,-1,5.25,21.1
55000051,55,6,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8.25,30
55000052,55,1.85,4,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,7,18.85
55000053,55,3.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8.35,28.1
55000054,55,5.1,7.75,-1,6.25,5.25,-1,-1,-1,-1,-1,-1,-1,-1,24.35
55000055,55,3,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,8.5,27.25
55000056,55,3.75,7,-1,-1,3.25,4.5,-1,-1,-1,-1,-1,-1,-1,18.5
55000057,55,5,8,-1,-1,4.2,3.75,-1,-1,-1,-1,-1,-1,-1,20.95
55000058,55,4.25,7.25,-1,7.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,24.75
55000059,55,3.25,7.5,4.25,-1,-1,-1,-1,6.75,-1,-1,-1,-1,-1,21.75
55000060,55,5.1,7.25,2.75,-1,4.75,-1,-1,-1,-1,-1,-1,-1,-1,19.85
55000061,55,2.6,6.25,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,8.25,22.1
55000062,55,3.1,7,-1,-1,-1,-1,-1,8.75,-1,-1,-1,-1,8.5,27.35
55000063,55,1.85,3.75,-1,-1,-1,-1,-1,4.35,-1,-1,-1,-1,5,14.95
55000064,55,1.6,5,-1,-1,2.6,5,-1,-1,-1,-1,-1,-1,-1,14.2
55000065,55,2.75,5.75,-1,-1,-1,-1,-1,6.5,-1,-1,-1,-1,8.5,23.5
55000066,55,3,7.5,-1,-1,-1,-1,-1,7.25,-1,-1,-1,-1,8.75,26.5
