SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
06000001,6,1.6,5.5,2,-1,-1,-1,-1,-1,-1,-1,4.25,-1,-1,13.35
06000002,6,2.7,5,-1,-1,-1,-1,6.75,6.35,-1,-1,-1,-1,-1,20.8
06000003,6,3.25,7,-1,-1,-1,-1,-1,6.25,-1,-1,-1,7,-1,23.5
06000004,6,1.95,4.25,-1,-1,-1,-1,5.5,-1,-1,-1,-1,7.75,-1,19.45
06000005,6,1.5,4.75,-1,-1,-1,-1,4.6,5.25,-1,-1,-1,-1,-1,16.1
06000006,6,4.25,7.25,-1,4,-1,-1,5.35,-1,-1,-1,-1,-1,-1,20.85
06000007,6,2.85,6.5,-1,-1,-1,-1,5.2,-1,-1,-1,4.85,-1,-1,19.4
06000008,6,3.1,5.5,-1,-1,-1,-1,8.75,5.5,-1,-1,-1,-1,-1,22.85
06000009,6,2.75,4.75,-1,-1,-1,2.2,4.75,-1,-1,-1,-1,-1,-1,14.45
06000010,6,3.1,6.5,-1,3.75,-1,-1,4.3,-1,-1,-1,-1,-1,-1,17.65
06000011,6,2.6,7.75,-1,-1,-1,-1,8.5,9.25,-1,-1,-1,-1,-1,28.1
06000012,6,2.5,4.5,-1,-1,-1,-1,4.6,3.6,-1,-1,-1,-1,-1,15.2
06000013,6,3.75,6,-1,-1,-1,-1,6.95,6.1,-1,-1,-1,-1,-1,22.8
06000014,6,3.35,4.5,-1,-1,-1,-1,-1,5.1,-1,-1,-1,7,-1,19.95
06000015,6,2.6,5,-1,-1,-1,-1,4.1,4.1,-1,-1,-1,-1,-1,15.8
06000016,6,4,5,-1,-1,-1,-1,5.25,-1,-1,-1,-1,-1,5.25,19.5
06000017,6,2.1,5.25,-1,-1,-1,-1,5.75,-1,-1,-1,-1,-1,7.5,20.6
06000018,6,2.1,5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,6.35,17.45
06000019,6,2.45,6.75,-1,-1,-1,-1,6,-1,-1,-1,-1,8.5,-1,23.7
06000020,6,2.5,4.5,-1,-1,-1,-1,4.85,4.5,-1,-1,-1,-1,-1,16.35
06000021,6,3.1,5.25,-1,-1,-1,-1,-1,4.6,-1,-1,-1,8.25,-1,21.2
06000022,6,2.75,3.75,-1,-1,-1,-1,4.85,4.25,-1,-1,-1,-1,-1,15.6
06000023,6,1.45,4.5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4.1,14.05
06000024,6,2.35,6.25,-1,-1,-1,-1,6.5,-1,-1,-1,5.25,-1,-1,20.35
06000025,6,2.85,5.25,-1,-1,-1,-1,4.25,-1,-1,-1,-1,-1,8,20.35
06000026,6,2.35,5.75,-1,-1,-1,-1,5.75,5.5,-1,-1,-1,-1,-1,19.35
06000027,6,2.85,3.75,-1,-1,-1,-1,4.25,4,-1,-1,-1,-1,-1,14.85
06000028,6,1.85,3,-1,-1,-1,-1,2.75,3.75,-1,-1,-1,-1,-1,11.35
06000029,6,1.95,4.25,-1,-1,-1,-1,3.85,2.45,-1,-1,-1,-1,-1,12.5
06000030,6,1.95,6,-1,-1,-1,-1,6.75,5.25,-1,-1,-1,-1,-1,19.95
06000031,6,2.35,4.75,-1,-1,-1,3.5,4.25,-1,-1,-1,-1,-1,-1,14.85
06000032,6,4,6.75,-1,-1,-1,-1,8.5,9.5,-1,-1,-1,-1,-1,28.75
06000033,6,2.85,3.5,-1,-1,-1,-1,6.25,-1,-1,-1,-1,-1,6.75,19.35
06000034,6,2.85,3,-1,-1,-1,-1,3.75,-1,-1,-1,-1,-1,6.75,16.35
06000035,6,-1,8.5,-1,-1,-1,-1,9.25,9.5,-1,-1,-1,-1,-1,27.25
06000036,6,2.7,3.25,-1,-1,-1,-1,4.6,-1,-1,-1,-1,-1,5.25,15.8
06000037,6,2.35,5,-1,-1,-1,-1,6.25,5,-1,-1,-1,-1,-1,18.6
06000038,6,3.5,6.25,-1,-1,-1,5.25,5.25,-1,-1,-1,-1,-1,-1,20.25
06000039,6,1.85,4,-1,-1,-1,-1,5.75,5.35,-1,-1,-1,-1,-1,16.95
06000040,6,3,7,-1,-1,-1,4.75,5.35,-1,-1,-1,-1,-1,-1,20.1
06000041,6,3.1,5,-1,-1,-1,-1,5.5,-1,-1,-1,-1,7.5,-1,21.1
06000042,6,2.35,4,-1,-1,-1,-1,5.85,4.85,-1,-1,-1,-1,-1,17.05
06000043,6,2.35,3.75,-1,-1,-1,-1,3.6,-1,-1,-1,-1,-1,7.5,17.2
06000044,6,2.85,5.75,-1,-1,-1,4,4.35,-1,-1,-1,-1,-1,-1,16.95
06000045,6,2.95,7.75,-1,-1,-1,4.35,5.75,-1,-1,-1,-1,-1,-1,20.8
06000046,6,2.25,2,-1,-1,-1,-1,4.35,3.85,-1,-1,-1,-1,-1,12.45
06000047,6,2.1,7.25,-1,-1,-1,-1,8.25,5.35,-1,-1,-1,-1,-1,22.95
06000048,6,5.35,6.75,-1,5.35,4.6,-1,-1,-1,-1,-1,-1,-1,-1,22.05
06000049,6,2.25,5.25,-1,-1,-1,-1,6.25,4.5,-1,-1,-1,-1,-1,18.25
06000050,6,2.1,5.5,-1,-1,-1,-1,4.6,4.75,-1,-1,-1,-1,-1,16.95
06000051,6,2.35,3.75,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,6.85,18.45
06000052,6,1.6,3.75,-1,-1,-1,-1,2.7,5,-1,-1,-1,-1,-1,13.05
06000053,6,3.1,3,-1,-1,-1,-1,3.1,3.6,-1,-1,-1,-1,-1,12.8
06000054,6,2.25,4.5,-1,-1,-1,-1,5.25,4.6,-1,-1,-1,-1,-1,16.6
06000055,6,1.8,4.5,-1,-1,-1,4.85,3.7,-1,-1,-1,-1,-1,-1,14.85
06000056,6,3,4.5,-1,-1,-1,3.95,5,-1,-1,-1,-1,-1,-1,16.45
06000057,6,2.35,5.75,-1,-1,-1,-1,5.75,-1,-1,-1,3.95,-1,-1,17.8
06000058,6,1.85,5,-1,-1,-1,-1,3.2,-1,-1,-1,4.25,-1,-1,14.3
06000059,6,4.75,5.25,-1,-1,-1,4.85,7.25,-1,-1,-1,-1,-1,-1,22.1
06000060,6,3.5,5,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,6.75,23.25
06000061,6,3.1,4,-1,-1,-1,-1,3.95,4.35,-1,-1,-1,-1,-1,15.4
06000062,6,2.2,5.5,-1,-1,-1,-1,6.25,7.75,-1,-1,-1,-1,-1,21.7
06000063,6,3.5,6.5,-1,-1,-1,-1,6.5,6,-1,-1,-1,-1,-1,22.5
06000064,6,3.1,4.5,-1,-1,-1,-1,7,6.75,-1,-1,-1,-1,-1,21.35
06000065,6,1.85,6.75,-1,-1,-1,-1,-1,7,-1,-1,-1,9,-1,24.6
06000066,6,2.6,5.25,-1,-1,-1,-1,6.5,6.5,-1,-1,-1,-1,-1,20.85
06000067,6,4,6.75,-1,4.35,-1,-1,5.25,-1,-1,-1,-1,-1,-1,20.35
06000068,6,2.1,5.25,-1,-1,-1,-1,-1,5.35,-1,-1,-1,9.5,-1,22.2
06000069,6,1.2,4.5,-1,-1,-1,-1,3,3.5,-1,-1,-1,-1,-1,12.2
06000070,6,3.25,7.5,-1,-1,-1,-1,6,7,-1,-1,-1,-1,-1,23.75
06000071,6,3.1,6.5,-1,-1,-1,-1,8,6.75,-1,-1,-1,-1,-1,24.35
06000072,6,4,6.25,-1,-1,-1,4.25,5.1,-1,-1,-1,-1,-1,-1,19.6
06000073,6,5.25,7,5.25,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,25
06000074,6,2.25,3.75,-1,-1,-1,-1,3.6,3.55,-1,-1,-1,-1,-1,13.15
06000075,6,2.6,5,-1,-1,-1,-1,5.35,4.6,-1,-1,-1,-1,-1,17.55
06000076,6,1.6,4.5,-1,-1,-1,-1,3.1,3.75,-1,-1,-1,-1,-1,12.95
06000077,6,3.5,5,-1,-1,-1,-1,4.35,-1,-1,-1,-1,-1,7.5,20.35
06000078,6,3.35,6,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,8.25,24.6
06000079,6,3.5,5.25,-1,-1,-1,-1,5.25,-1,-1,-1,-1,-1,6.75,20.75
06000080,6,1.2,3.25,-1,-1,-1,-1,2.75,3,-1,-1,-1,-1,-1,10.2
06000081,6,4,6,-1,-1,-1,-1,7.5,-1,-1,-1,5,-1,-1,22.5
06000082,6,3.85,3.75,-1,-1,-1,-1,6.75,-1,-1,-1,-1,-1,7.5,21.85
06000083,6,4.85,4,-1,-1,-1,-1,4.5,5.1,-1,-1,-1,-1,-1,18.45
06000084,6,3.6,6.75,-1,-1,-1,-1,6,3.95,-1,-1,-1,-1,-1,20.3
06000085,6,4,5.75,-1,-1,-1,4.75,4,-1,-1,-1,-1,-1,-1,18.5
06000086,6,4.7,8.75,-1,-1,-1,-1,8.5,9.5,-1,-1,-1,-1,-1,31.45
06000087,6,4,4.25,-1,-1,-1,-1,5.25,5.85,-1,-1,-1,-1,-1,19.35
06000088,6,4.75,7.5,-1,-1,-1,-1,7.25,7.6,-1,-1,-1,-1,-1,27.1
06000089,6,3.75,7,-1,-1,-1,-1,6.6,7,-1,-1,-1,-1,-1,24.35
06000090,6,3,6,-1,-1,-1,-1,4.25,-1,-1,-1,-1,-1,6.75,20
06000091,6,4.85,7.75,-1,-1,-1,-1,7.75,8,-1,-1,-1,-1,-1,28.35
06000093,6,4,5.5,-1,6.25,-1,-1,4.75,-1,-1,-1,-1,-1,-1,20.5
06000094,6,3.1,6.75,-1,-1,-1,-1,5.45,-1,-1,-1,-1,-1,7.75,23.05
06000095,6,3.75,6,-1,-1,-1,2.75,3.5,-1,-1,-1,-1,-1,-1,16
06000096,6,2.35,6,-1,-1,-1,-1,5.75,7,-1,-1,-1,-1,-1,21.1
06000097,6,4,5.75,-1,-1,-1,-1,4,4.1,-1,-1,-1,-1,-1,17.85
06000098,6,3,4.5,-1,-1,-1,-1,-1,7.25,-1,-1,-1,8.5,-1,23.25
06000099,6,-1,4,-1,-1,-1,-1,4.25,5.1,-1,-1,-1,-1,-1,13.35
06000100,6,3.6,6,-1,-1,-1,-1,4.35,-1,-1,-1,4.25,-1,-1,18.2
06000101,6,2,3.5,-1,-1,-1,-1,5,6,-1,-1,-1,-1,-1,16.5
06000102,6,2.85,5,-1,-1,-1,-1,5.1,-1,-1,-1,-1,-1,7,19.95
06000103,6,2.5,7.25,-1,-1,-1,-1,-1,5.6,-1,-1,-1,8.25,-1,23.6
06000104,6,2.45,6.75,-1,-1,-1,-1,4.25,-1,-1,-1,4.25,-1,-1,17.7
06000105,6,4.5,6.5,-1,-1,-1,-1,6.25,5.35,-1,-1,-1,-1,-1,22.6
06000106,6,3.5,6.5,-1,-1,-1,-1,6,7.6,-1,-1,-1,-1,-1,23.6
06000107,6,1.6,6.5,-1,-1,-1,-1,4.6,4.6,-1,-1,-1,-1,-1,17.3
06000108,6,3,5.75,-1,-1,-1,-1,6.75,6.5,-1,-1,-1,-1,-1,22
06000109,6,3,5.25,-1,-1,-1,-1,4.35,5.75,-1,-1,-1,-1,-1,18.35
06000110,6,3,5,-1,-1,-1,-1,7,5.25,-1,-1,-1,-1,-1,20.25
06000111,6,3,5.75,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,8,24.75
06000112,6,2.85,4.75,-1,-1,-1,-1,3.95,5.85,-1,-1,-1,-1,-1,17.4
06000113,6,3.75,5.5,-1,6.5,-1,-1,5.25,-1,-1,-1,-1,-1,-1,21
06000114,6,3.25,4.25,-1,-1,-1,-1,6,6.5,-1,-1,-1,-1,-1,20
06000115,6,2.7,4.25,-1,-1,-1,-1,3.75,4.5,-1,-1,-1,-1,-1,15.2
06000116,6,3.75,7,-1,-1,-1,-1,5.6,7.75,-1,-1,-1,-1,-1,24.1
06000117,6,3,6.75,-1,-1,-1,-1,7.25,5.85,-1,-1,-1,-1,-1,22.85
06000118,6,3.5,4.5,-1,-1,-1,4,-1,-1,-1,-1,6.25,-1,-1,18.25
06000119,6,2.85,5.25,-1,-1,-1,-1,4.1,4.1,-1,-1,-1,-1,-1,16.3
06000120,6,3.25,2.25,-1,-1,-1,-1,7,5.75,-1,-1,-1,-1,-1,18.25
06000121,6,2.35,3.25,-1,-1,-1,-1,5.1,2.6,-1,-1,-1,-1,-1,13.3
06000122,6,4.5,6,-1,6.5,3.6,-1,-1,-1,-1,-1,-1,-1,-1,20.6
06000123,6,5,4,-1,-1,-1,-1,7.6,7.75,-1,-1,-1,-1,-1,24.35
06000124,6,2.3,6.75,-1,-1,-1,-1,6.75,-1,-1,-1,-1,9,-1,24.8
06000125,6,3.1,7,-1,-1,-1,-1,6.75,6.5,-1,-1,-1,-1,-1,23.35
06000126,6,5.25,7.75,-1,-1,-1,-1,8.5,8,-1,-1,-1,-1,-1,29.5
06000127,6,1.7,5,-1,-1,-1,-1,3.75,5.6,-1,-1,-1,-1,-1,16.05
06000128,6,3.25,5,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,6,19.75
06000129,6,4,5.5,-1,-1,-1,-1,5.25,4.75,-1,-1,-1,-1,-1,19.5
06000130,6,3.1,5.25,-1,-1,-1,-1,4.35,-1,-1,-1,-1,-1,6.75,19.45
06000131,6,1.85,3.25,-1,-1,-1,-1,6.6,5.25,-1,-1,-1,-1,-1,16.95
06000132,6,1.3,5,-1,-1,-1,-1,3.85,4.75,-1,-1,-1,-1,-1,14.9
06000133,6,3.75,7.25,-1,-1,-1,-1,7.75,7,-1,-1,-1,-1,-1,25.75
06000134,6,3.2,5.75,-1,-1,-1,-1,5.25,6,-1,-1,-1,-1,-1,20.2
06000135,6,2.75,6,-1,-1,-1,-1,5.25,-1,-1,-1,4.5,-1,-1,18.5
06000136,6,2,5,-1,-1,-1,-1,7,6.5,-1,-1,-1,-1,-1,20.5
06000137,6,1.95,3.25,-1,-1,-1,-1,3.85,3.25,-1,-1,-1,-1,-1,12.3
06000138,6,7,6,-1,-1,7.75,7,-1,-1,-1,-1,-1,-1,-1,27.75
06000139,6,3.1,5,-1,-1,-1,-1,6.6,-1,-1,-1,4.35,-1,-1,19.05
06000140,6,1.95,4,-1,-1,-1,-1,4.45,3.35,-1,-1,-1,-1,-1,13.75
06000141,6,4.25,7.5,-1,-1,-1,5,8.5,-1,-1,-1,-1,-1,-1,25.25
06000142,6,4.2,5,-1,-1,-1,-1,-1,5.1,-1,-1,-1,-1,7,21.3
06000143,6,3.25,5.5,-1,-1,-1,-1,4.75,5.75,-1,-1,-1,-1,-1,19.25
06000144,6,2.25,4.5,-1,-1,-1,-1,4.75,4.35,-1,-1,-1,-1,-1,15.85
06000145,6,3,5.5,-1,-1,-1,-1,4.45,3.85,-1,-1,-1,-1,-1,16.8
06000146,6,3.25,7.75,-1,-1,-1,-1,3.75,-1,-1,-1,-1,5.6,-1,20.35
06000147,6,1.6,4.25,-1,-1,-1,-1,4.25,-1,-1,-1,-1,-1,5.75,15.85
06000148,6,2,3.5,-1,-1,-1,-1,4.85,4.5,-1,-1,-1,-1,-1,14.85
06000149,6,2.75,3.75,-1,-1,-1,-1,4.2,4.1,-1,-1,-1,-1,-1,14.8
06000150,6,2.95,3.25,-1,-1,-1,-1,3.7,-1,-1,-1,-1,-1,6.25,16.15
06000151,6,3.1,6,-1,-1,-1,-1,5,6.25,-1,-1,-1,-1,-1,20.35
06000152,6,3,5,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,8.5,22.5
06000153,6,5.25,9,5,-1,-1,-1,-1,9.75,-1,-1,-1,-1,-1,29
06000154,6,2.1,4.5,-1,-1,-1,-1,3.35,6.25,-1,-1,-1,-1,-1,16.2
06000155,6,4,8.5,-1,-1,-1,-1,7.5,-1,-1,-1,-1,-1,8.25,28.25
06000156,6,2.75,3.5,-1,-1,-1,-1,3.95,5.25,-1,-1,-1,-1,-1,15.45
06000157,6,1.95,4,-1,-1,-1,-1,4.75,5.75,-1,-1,-1,-1,-1,16.45
06000159,6,3.25,4.5,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,7.75,21
06000160,6,2.6,6.25,-1,4.25,-1,-1,4.35,-1,-1,-1,-1,-1,-1,17.45
06000161,6,1.95,5.5,-1,-1,-1,4.75,5.25,-1,-1,-1,-1,-1,-1,17.45
06000162,6,1.25,4.25,-1,-1,-1,-1,4.75,-1,-1,-1,-1,-1,5,15.25
06000163,6,4,5.75,-1,-1,-1,-1,7.75,6.75,-1,-1,-1,-1,-1,24.25
06000164,6,2.75,2.5,-1,-1,-1,-1,4,5.25,-1,-1,-1,-1,-1,14.5
06000165,6,2.85,7.5,-1,-1,-1,-1,-1,5.1,-1,-1,-1,6.75,-1,22.2
06000166,6,3.85,6,-1,-1,-1,-1,8,-1,-1,-1,5.6,-1,-1,23.45
06000167,6,3.75,3.5,-1,-1,-1,-1,5,4.25,-1,-1,-1,-1,-1,16.5
06000168,6,2.85,5.75,-1,-1,-1,-1,6.5,-1,-1,-1,3.35,-1,-1,18.45
06000169,6,2,3.5,-1,-1,-1,-1,6.1,5.6,-1,-1,-1,-1,-1,17.2
06000170,6,3.1,4.25,-1,-1,-1,-1,-1,5.35,-1,-1,-1,-1,8.5,21.2
06000171,6,1.85,3.25,-1,3,-1,-1,4.5,-1,-1,-1,-1,-1,-1,12.6
06000172,6,2.85,4.75,-1,-1,-1,-1,6,4.6,-1,-1,-1,-1,-1,18.2
06000173,6,2.35,4.5,-1,-1,-1,-1,7,3.85,-1,-1,-1,-1,-1,17.7
06000174,6,3.25,5.75,-1,-1,-1,-1,7.35,8,-1,-1,-1,-1,-1,24.35
06000175,6,1.95,4,-1,-1,-1,-1,-1,6.25,-1,-1,-1,-1,7.5,19.7
06000176,6,3.5,5.25,-1,-1,-1,-1,7.6,7.25,-1,-1,-1,-1,-1,23.6
06000177,6,2.1,4.5,-1,-1,-1,-1,4.6,3.05,-1,-1,-1,-1,-1,14.25
06000178,6,2.25,4.75,-1,-1,-1,4.75,6.85,-1,-1,-1,-1,-1,-1,18.6
