SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
23000001,23,7.75,5.75,5.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.5
23000002,23,4.25,8.5,-1,-1,-1,-1,9.5,9.5,-1,-1,-1,-1,-1,31.75
23000003,23,6.5,7.5,9.25,5.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29
23000004,23,9,8.75,-1,9.5,8.75,-1,-1,-1,-1,-1,-1,-1,-1,36
23000005,23,8,7.25,-1,8.5,5.85,-1,-1,-1,-1,-1,-1,-1,-1,29.6
23000006,23,7.75,9.25,-1,-1,-1,-1,8.5,9.25,-1,-1,-1,-1,-1,34.75
23000007,23,4.75,7.5,-1,-1,-1,-1,8.6,8.75,-1,-1,-1,-1,-1,29.6
23000008,23,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.75,30.75
23000009,23,9,6.5,-1,8.25,7,-1,-1,-1,-1,-1,-1,-1,-1,30.75
23000010,23,7,7.75,10,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,33.75
23000011,23,6.75,8.25,8.5,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,30.75
23000012,23,8,9.5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.5,37
23000013,23,2.95,3.75,-1,-1,-1,-1,5,5.75,-1,-1,-1,-1,-1,17.45
23000014,23,6.35,7.5,8.5,-1,-1,-1,8.5,-1,-1,-1,-1,-1,-1,30.85
23000015,23,5.75,7.5,9.5,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,31
23000016,23,3,5.75,-1,-1,-1,-1,7.25,6.75,-1,-1,-1,-1,-1,22.75
23000017,23,7.5,5.5,-1,7.1,7.75,-1,-1,-1,-1,-1,-1,-1,-1,27.85
23000018,23,4.25,8.75,-1,-1,-1,-1,10,9.5,-1,-1,-1,-1,-1,32.5
23000019,23,4,9,-1,-1,-1,-1,8,8.75,-1,-1,-1,-1,-1,29.75
23000020,23,6.5,8.25,4.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,26
23000021,23,5,8.25,4.25,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,26
23000022,23,7.75,7,-1,9,6.25,-1,-1,-1,-1,-1,-1,-1,-1,30
23000023,23,5.5,9.5,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,33.5
23000024,23,6,8.5,7.25,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,30.5
23000025,23,7.5,8,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.5,31.75
23000026,23,6.1,6.75,7.25,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,28.1
23000027,23,6.5,9.5,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,33
23000028,23,9.5,5.5,5.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.75
23000029,23,5.25,7.25,-1,-1,7.75,7.5,-1,-1,-1,-1,-1,-1,-1,27.75
23000030,23,6.75,8.25,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,30
23000031,23,3.1,6.75,-1,-1,-1,-1,6,7.75,-1,-1,-1,-1,-1,23.6
23000032,23,2.5,7,-1,-1,-1,-1,7.25,9,-1,-1,-1,-1,-1,25.75
23000033,23,4,8.5,-1,-1,-1,-1,7,9,-1,-1,-1,-1,-1,28.5
23000034,23,6.25,8,-1,-1,-1,-1,8.25,9.75,-1,-1,-1,-1,-1,32.25
23000035,23,6.25,8.25,-1,8.25,5.5,-1,-1,-1,-1,-1,-1,-1,-1,28.25
23000036,23,5.5,8,8.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29
23000037,23,9,5,-1,8.25,9.75,-1,-1,-1,-1,-1,-1,-1,-1,32
23000038,23,4,8.75,-1,-1,-1,-1,7.85,8.25,-1,-1,-1,-1,-1,28.85
23000039,23,6.25,6.5,5.75,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,27.25
23000040,23,8,7,6.75,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.75
23000041,23,3.25,7.75,-1,-1,-1,-1,8.75,8.5,-1,-1,-1,-1,-1,28.25
23000042,23,3.1,8.75,-1,-1,-1,-1,9.25,9.5,-1,-1,-1,-1,-1,30.6
23000043,23,7,8.25,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,30.25
23000044,23,5.1,9,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.75,29.35
23000045,23,5.75,8,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,30.5
23000046,23,5.5,8.5,-1,-1,-1,-1,8.75,7.5,-1,-1,-1,-1,-1,30.25
23000047,23,6.5,8.25,7.75,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,31
23000048,23,6.25,7.75,6.25,-1,5.35,-1,-1,-1,-1,-1,-1,-1,-1,25.6
23000049,23,9,8.25,-1,9.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,35.25
23000050,23,8,7.5,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,32.5
23000051,23,6.1,8,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,33.35
23000052,23,4.1,5,3.25,-1,-1,-1,-1,9.25,-1,-1,-1,-1,-1,21.6
23000053,23,4.5,7.75,5.75,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,26
23000054,23,7.25,5.75,-1,7,7.25,-1,-1,-1,-1,-1,-1,-1,-1,27.25
23000055,23,7.5,7.75,6.5,-1,-1,-1,9.5,-1,-1,-1,-1,-1,-1,31.25
23000056,23,4,8.25,-1,-1,-1,-1,8.25,10,-1,-1,-1,-1,-1,30.5
23000057,23,9.5,7.25,8.25,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.5
23000058,23,5,7.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,27.25
23000059,23,7.75,6.5,6.75,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.5
23000060,23,8.5,7.75,-1,8.5,5.5,-1,-1,-1,-1,-1,-1,-1,-1,30.25
23000061,23,6.5,6.5,7.75,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
23000062,23,6.75,6.75,-1,-1,6.25,7.75,-1,-1,-1,-1,-1,-1,-1,27.5
23000063,23,6,7.25,-1,-1,-1,-1,8.75,9.25,-1,-1,-1,-1,-1,31.25
23000064,23,7,7.25,-1,8.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,30.5
23000065,23,8,6,7.75,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.75
23000066,23,7.25,4.75,5.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.25
23000067,23,9,6.25,-1,9.5,9.25,-1,-1,-1,-1,-1,-1,-1,-1,34
23000068,23,2.25,5.75,-1,-1,-1,-1,4.1,5.5,-1,-1,-1,-1,-1,17.6
23000069,23,8.25,6.5,9,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.25
23000070,23,7.25,5.5,5.25,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,24
23000071,23,7.5,6.25,-1,-1,7.75,8,-1,-1,-1,-1,-1,-1,-1,29.5
23000072,23,3.5,9,-1,-1,-1,-1,9.75,9.75,-1,-1,-1,-1,-1,32
23000073,23,9,6.25,-1,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,33
23000074,23,6.5,6.75,-1,8.25,5.35,-1,-1,-1,-1,-1,-1,-1,-1,26.85
23000075,23,8,6,-1,8.1,6.1,-1,-1,-1,-1,-1,-1,-1,-1,28.2
23000076,23,8.5,8,4.25,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,27.75
23000077,23,2.2,4.5,-1,-1,-1,-1,5,5.6,-1,-1,-1,-1,-1,17.3
23000078,23,8,4,-1,8.25,4.25,-1,-1,-1,-1,-1,-1,-1,-1,24.5
23000079,23,3.25,7,-1,-1,-1,-1,6.5,4.75,-1,-1,-1,-1,-1,21.5
23000080,23,2.6,5,-1,-1,-1,-1,6.5,6,-1,-1,-1,-1,-1,20.1
23000081,23,4.1,7,4.5,-1,-1,-1,-1,6.75,-1,-1,-1,-1,-1,22.35
23000082,23,3,4.75,-1,-1,-1,-1,4.45,5,-1,-1,-1,-1,-1,17.2
23000083,23,6,8.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,30.25
23000084,23,6,8.5,9.5,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,32
23000085,23,6,7,-1,-1,6.6,8,-1,-1,-1,-1,-1,-1,-1,27.6
23000086,23,6.75,8,6.5,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,29.5
23000087,23,4.5,7.5,-1,-1,-1,-1,7.25,7,-1,-1,-1,-1,-1,26.25
23000088,23,6.5,6.75,6.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,28
23000089,23,4.75,7.75,7.25,-1,-1,-1,-1,6.6,-1,-1,-1,-1,-1,26.35
23000090,23,3.5,7.75,-1,-1,-1,-1,9.75,8.5,-1,-1,-1,-1,-1,29.5
23000091,23,5.5,8.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,29.75
23000092,23,2.2,5.75,-1,-1,-1,-1,4.1,3.6,-1,-1,-1,-1,-1,15.65
