SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
13000001,13,4.5,8,-1,-1,-1,-1,9,9,-1,-1,-1,-1,-1,30.5
13000002,13,8,5.75,-1,9,7.75,-1,-1,-1,-1,-1,-1,-1,-1,30.5
13000003,13,9.5,8,7.25,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.75
13000004,13,5,9.25,5,-1,-1,-1,-1,9.25,-1,-1,-1,-1,-1,28.5
13000005,13,8.25,7,-1,-1,7.5,7.25,-1,-1,-1,-1,-1,-1,-1,30
13000006,13,7.25,8.5,6.5,-1,-1,5.1,-1,-1,-1,-1,-1,-1,-1,27.35
13000007,13,7,6.5,5.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.25
13000008,13,9,8.25,6,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.5
13000009,13,7.25,8.5,-1,-1,8,8.25,-1,-1,-1,-1,-1,-1,-1,32
13000010,13,6,8.5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.5
13000011,13,8.5,7.25,-1,-1,8.75,7,-1,-1,-1,-1,-1,-1,-1,31.5
13000012,13,4.25,8.75,-1,-1,-1,-1,9,10,-1,-1,-1,-1,-1,32
13000013,13,6.25,9,6,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,28.75
13000014,13,7,8.75,6,-1,6.5,-1,-1,-1,-1,-1,-1,-1,-1,28.25
13000015,13,6.5,9,5.75,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.25
13000016,13,4.75,9.25,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.5,30.25
13000017,13,7.75,6.5,6.25,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6
13000018,13,8,8.5,9.5,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,35.25
13000019,13,9.5,6.5,-1,9.75,7.75,-1,-1,-1,-1,-1,-1,-1,-1,33.5
13000020,13,6,8.25,-1,-1,7.5,7,-1,-1,-1,-1,-1,-1,-1,28.75
13000021,13,6.25,9.25,8.75,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,32.5
13000022,13,6.85,9.25,9.25,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,33.6
13000023,13,8,8.5,-1,9.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,34.5
13000024,13,6,9.25,7.5,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,32
13000025,13,7,9,9.25,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,34.5
13000026,13,7.75,7.5,-1,9.5,9,-1,-1,-1,-1,-1,-1,-1,-1,33.75
13000027,13,7.25,7.5,-1,-1,6.75,7.5,-1,-1,-1,-1,-1,-1,-1,29
13000028,13,6,9,6.25,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,30
13000029,13,8,8,-1,8.75,8.25,-1,-1,-1,-1,-1,-1,-1,-1,33
13000030,13,7,9,8.25,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,32.5
13000031,13,6.25,8.75,5.5,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,29.5
