SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
50000001,50,4,5.75,-1,-1,-1,-1,6.5,5,-1,-1,-1,-1,-1,21.25
50000002,50,3.75,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,23.75
50000003,50,8.5,7.5,5.5,9.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.25
50000004,50,4.5,6.25,-1,-1,-1,-1,6.35,7.1,-1,-1,-1,-1,-1,24.2
50000005,50,4.85,8.25,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,8.5,29.85
50000006,50,4.35,4,-1,-1,-1,-1,6.75,7.25,-1,-1,-1,-1,-1,22.35
50000007,50,3.85,6,5.25,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.6
50000008,50,5.1,7.5,-1,-1,4.75,3.7,-1,-1,-1,-1,-1,-1,-1,21.05
50000009,50,5.85,6.25,-1,6.25,6.1,-1,-1,-1,-1,-1,-1,-1,-1,24.45
50000010,50,5.5,6.5,-1,7.75,6.75,-1,-1,-1,-1,-1,-1,-1,-1,26.5
50000011,50,4,7,-1,-1,-1,-1,7.75,5.85,-1,-1,-1,-1,-1,24.6
50000012,50,2,6.5,-1,-1,-1,-1,5.1,-1,-1,-1,-1,-1,6.5,20.1
50000013,50,6.25,7,5.25,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
50000014,50,4.75,6.75,3,-1,-1,-1,5.75,-1,-1,-1,-1,-1,-1,20.25
50000015,50,3.85,7,-1,3.75,-1,-1,6.75,-1,-1,-1,-1,-1,-1,21.35
50000016,50,2.3,7.5,-1,-1,-1,-1,8.25,6,-1,-1,-1,-1,-1,24.05
50000017,50,3.6,5.75,-1,-1,-1,-1,7.25,6,-1,-1,-1,-1,-1,22.6
50000018,50,3.6,7.75,-1,-1,-1,-1,5.1,-1,-1,-1,-1,-1,8,24.45
50000019,50,3.25,7.5,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,9.25,27.75
50000020,50,4,7,-1,7.25,5.1,-1,-1,-1,-1,-1,-1,-1,-1,23.35
50000021,50,6.25,4.25,-1,-1,5.75,7,-1,-1,-1,-1,-1,-1,-1,23.25
50000022,50,5,5.75,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,7.75,26.5
50000023,50,4.1,6.75,-1,-1,-1,-1,8.25,6.25,-1,-1,-1,-1,-1,25.35
50000024,50,3.75,6.5,-1,-1,-1,-1,5.75,-1,-1,-1,-1,-1,9.25,25.25
50000025,50,6.25,7.25,-1,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,31.25
50000026,50,5.25,7.25,-1,7.5,6.25,-1,-1,-1,-1,-1,-1,-1,-1,26.25
50000027,50,4.1,7,4,5.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.35
50000028,50,9,8.5,7.25,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.75
50000029,50,4.7,6.75,-1,-1,4.75,-1,7.25,-1,-1,-1,-1,-1,-1,23.45
50000030,50,6.25,7.25,-1,8.35,5.25,-1,-1,-1,-1,-1,-1,-1,-1,27.1
50000031,50,3.5,6.5,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,6.25,20.25
50000032,50,5.75,7,-1,-1,4.75,5.25,-1,-1,-1,-1,-1,-1,-1,22.75
50000033,50,6.25,8,6,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,27
50000034,50,5.25,6.75,-1,6.7,6.75,-1,-1,-1,-1,-1,-1,-1,-1,25.45
50000035,50,5.5,7,-1,6.25,4.25,-1,-1,-1,-1,-1,-1,-1,-1,23
50000036,50,5.5,6.75,-1,6.1,7,-1,-1,-1,-1,-1,-1,-1,-1,25.35
50000037,50,6,8,6,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.75
50000038,50,4,6.5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,8.25,24.75
50000039,50,7.5,7.75,-1,8.75,8.75,-1,-1,-1,-1,-1,-1,-1,-1,32.75
50000040,50,4.85,8,-1,8,6.25,-1,-1,-1,-1,-1,-1,-1,-1,27.1
50000041,50,8,8,-1,9.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,32.5
50000042,50,4.5,6,-1,-1,-1,-1,-1,7.5,-1,-1,-1,-1,9,27
50000043,50,3.5,6.67,4.75,-1,-1,-1,5.35,-1,-1,-1,-1,-1,-1,20.27
50000044,50,4,5.5,-1,5.5,5.1,-1,-1,-1,-1,-1,-1,-1,-1,20.1
50000045,50,1.95,6,-1,-1,-1,-1,5.7,4.25,-1,-1,-1,-1,-1,17.9
50000046,50,4.25,6.75,-1,-1,3,-1,5.6,-1,-1,-1,-1,-1,-1,19.6
50000047,50,5,6.75,-1,7.5,4.2,-1,-1,-1,-1,-1,-1,-1,-1,23.45
50000048,50,3.6,7,-1,-1,-1,-1,5.75,-1,-1,-1,-1,-1,7.25,23.6
50000049,50,4.85,8,-1,-1,-1,-1,4.45,-1,-1,-1,-1,-1,6.75,24.05
50000050,50,4.6,8,5.5,-1,-1,-1,6.75,-1,-1,-1,-1,-1,-1,24.85
50000051,50,2.35,7,-1,-1,-1,-1,6.75,-1,-1,-1,-1,-1,9.25,25.35
50000052,50,6.75,7.75,-1,7.75,4.2,-1,-1,-1,-1,-1,-1,-1,-1,26.45
50000053,50,5.5,7.75,-1,8.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,28.75
50000054,50,4.25,4.75,-1,-1,-1,-1,5.2,5.45,-1,-1,-1,-1,-1,19.65
50000055,50,7.25,7.25,-1,8.1,7,-1,-1,-1,-1,-1,-1,-1,-1,29.6
50000056,50,4.5,7.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,24.75
50000057,50,3.6,7,-1,6.25,-1,-1,7.25,-1,-1,-1,-1,-1,-1,24.1
50000058,50,2.75,6.5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,8,23.25
50000059,50,2.85,5.5,-1,-1,-1,-1,4.35,4,-1,-1,-1,-1,-1,16.7
50000060,50,7.75,7.5,6.75,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,31
50000061,50,7.75,7.5,-1,9,9.75,-1,-1,-1,-1,-1,-1,-1,-1,34
50000062,50,5,7.5,-1,8.5,-1,-1,-1,-1,-1,-1,6.2,-1,-1,27.2
50000063,50,5.5,9,5.25,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.25
50000064,50,4.6,7,3.25,-1,-1,-1,5.35,-1,-1,-1,-1,-1,-1,20.2
50000065,50,4,7,-1,-1,-1,-1,3.1,-1,-1,-1,-1,-1,5.5,19.6
50000066,50,5.5,7.75,-1,5.35,-1,-1,6.75,-1,-1,-1,-1,-1,-1,25.35
50000067,50,3,6,4.5,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,19.5
50000068,50,3.1,6.5,-1,-1,-1,-1,6.25,-1,-1,-1,-1,-1,7,22.85
50000069,50,5,6.75,-1,-1,4.25,6,-1,-1,-1,-1,-1,-1,-1,22
50000070,50,6.25,7.25,-1,-1,-1,-1,8.75,9.5,-1,-1,-1,-1,-1,31.75
50000071,50,6.25,9,6.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5
50000072,50,6.75,7,-1,7.75,7.75,-1,-1,-1,-1,-1,-1,-1,-1,29.25
50000073,50,3.25,6.5,5.25,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,22
50000074,50,2.6,6.5,-1,-1,-1,-1,4.2,-1,-1,-1,-1,-1,7.25,20.55
50000075,50,4.35,6.75,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,7.5,25.85
50000076,50,4.35,6,-1,-1,-1,-1,7.25,8.25,-1,-1,-1,-1,-1,25.85
50000077,50,7.25,7.75,-1,8.75,9.25,-1,-1,-1,-1,-1,-1,-1,-1,33
50000078,50,4.25,7.5,6.25,-1,-1,-1,6.85,-1,-1,-1,-1,-1,-1,24.85
50000079,50,3.1,4.5,-1,-1,-1,-1,4.75,4.5,-1,-1,-1,-1,-1,16.85
50000080,50,3.75,7.5,-1,-1,-1,4.25,6.35,-1,-1,-1,-1,-1,-1,21.85
50000081,50,3.6,7.5,4.75,-1,-1,-1,5.1,-1,-1,-1,-1,-1,-1,20.95
50000082,50,4.75,6.75,-1,-1,-1,-1,6.75,5.2,-1,-1,-1,-1,-1,23.45
50000083,50,3.25,6.5,-1,-1,-1,-1,5.35,-1,-1,-1,-1,-1,6.75,21.85
50000084,50,6.75,7,-1,9,8,-1,-1,-1,-1,-1,-1,-1,-1,30.75
50000085,50,4.5,7.5,-1,-1,-1,-1,8.35,8.25,-1,-1,-1,-1,-1,28.6
50000086,50,2.75,6,-1,-1,-1,-1,5.5,-1,-1,-1,-1,-1,7.75,22
50000087,50,2.5,6.25,-1,-1,-1,-1,5.75,-1,-1,-1,-1,-1,8,22.5
50000088,50,4.35,7.25,-1,6.25,4.5,-1,-1,-1,-1,-1,-1,-1,-1,22.35
50000089,50,4.35,7.5,-1,6.5,-1,3.75,-1,-1,-1,-1,-1,-1,-1,22.1
50000090,50,4,7.75,4.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,25
50000091,50,5.25,8,6.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,28
50000092,50,3.5,8,-1,-1,-1,-1,4.1,-1,-1,-1,-1,-1,6.75,22.35
50000093,50,3.75,5.5,-1,-1,-1,-1,4.75,4.95,-1,-1,-1,-1,-1,18.95
50000094,50,2.1,5,-1,-1,-1,-1,3.6,-1,-1,-1,4.6,-1,-1,15.3
50000095,50,2.75,6,-1,-1,-1,-1,3.6,3.75,-1,-1,-1,-1,-1,16.1
50000096,50,4.75,6,-1,4.5,3.35,-1,-1,-1,-1,-1,-1,-1,-1,18.6
50000097,50,5.75,8.25,4.25,-1,-1,-1,6.75,-1,-1,-1,-1,-1,-1,25
50000098,50,6.75,5.75,5.75,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.75
50000099,50,5.1,7,-1,7.75,5,-1,-1,-1,-1,-1,-1,-1,-1,24.85
50000100,50,6.5,6.75,-1,7.35,-1,-1,8.5,-1,-1,-1,-1,-1,-1,29.1
50000101,50,4,6.5,-1,-1,-1,-1,7.5,4.85,-1,-1,-1,-1,-1,22.85
50000102,50,4.5,8,-1,-1,4,-1,5.25,-1,-1,-1,-1,-1,-1,21.75
50000103,50,3.6,7.5,-1,-1,-1,-1,-1,6.85,-1,-1,-1,-1,8,25.95
50000104,50,5.5,8,4.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.25
50000105,50,4.75,6.5,-1,-1,5.75,5.2,-1,-1,-1,-1,-1,-1,-1,22.2
50000106,50,4.75,8.75,-1,-1,-1,-1,8.75,8.25,-1,-1,-1,-1,-1,30.5
50000107,50,2.6,7,-1,-1,-1,-1,5.35,-1,-1,-1,-1,-1,7,21.95
50000108,50,4,7.75,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,26
50000109,50,6,8,-1,7.35,6,-1,-1,-1,-1,-1,-1,-1,-1,27.35
50000110,50,5.5,7.5,3.5,-1,-1,-1,-1,6.25,-1,-1,-1,-1,-1,22.75
50000111,50,3.75,7.5,4.25,-1,-1,-1,5.5,-1,-1,-1,-1,-1,-1,21
50000112,50,5.35,7.5,5.25,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.35
50000113,50,3.75,6.5,-1,-1,-1,-1,3.7,-1,-1,-1,-1,-1,7.25,21.2
50000114,50,4,7,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,9,27.25
50000115,50,3.7,6,-1,-1,-1,2.95,-1,-1,-1,-1,-1,-1,8.25,20.9
50000116,50,3.85,6.75,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,23.1
50000117,50,5.75,7.75,-1,8.25,5.75,-1,-1,-1,-1,-1,-1,-1,-1,27.5
50000118,50,3.1,7.5,4.25,-1,-1,-1,5.85,-1,-1,-1,-1,-1,-1,20.7
50000119,50,4.25,7,-1,6.25,3.6,-1,-1,-1,-1,-1,-1,-1,-1,21.1
50000120,50,7.75,8,-1,6.1,4.75,-1,-1,-1,-1,-1,-1,-1,-1,26.6
