SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
15000001,15,7,5.75,-1,8.75,6,-1,-1,-1,-1,-1,-1,-1,-1,27.5
15000002,15,8,8.75,7.25,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,31.75
15000003,15,5.25,8,5.75,-1,-1,-1,-1,7.35,-1,-1,-1,-1,-1,26.35
15000004,15,5.5,8.25,5.5,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,24.25
15000005,15,10,8.5,8.75,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.75
15000006,15,9.5,7,-1,9.5,8.25,-1,-1,-1,-1,-1,-1,-1,-1,34.25
15000007,15,8.5,8.25,-1,8,8.75,-1,-1,-1,-1,-1,-1,-1,-1,33.5
15000008,15,7.25,6.5,-1,9,8.25,-1,-1,-1,-1,-1,-1,-1,-1,31
15000009,15,8.75,7.5,-1,8.5,6.75,-1,-1,-1,-1,-1,-1,-1,-1,31.5
15000010,15,7.5,8.25,7,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,31
15000011,15,6.5,7.75,8.5,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,30.75
15000012,15,9.5,7.5,7.25,9.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,34
15000013,15,8.5,7,9,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.25
15000014,15,7.25,8.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,31.25
15000015,15,4.35,8,3.5,-1,-1,-1,-1,5.85,-1,-1,-1,-1,-1,21.7
15000016,15,7,7.5,4.25,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.75
15000017,15,6.5,8,7.75,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,31
15000018,15,9,8.5,-1,8.75,9.5,-1,-1,-1,-1,-1,-1,-1,-1,35.75
15000019,15,8.5,8,7.5,-1,-1,-1,-1,7.75,-1,-1,-1,-1,-1,31.75
15000020,15,6,8.5,8,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,29.75
15000021,15,7.5,8.5,7,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
15000022,15,8.75,7.5,6,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.5
15000023,15,7,7.75,8,-1,-1,-1,-1,6.5,-1,-1,-1,-1,-1,29.25
15000024,15,5.1,7.75,6.5,-1,-1,-1,-1,6.5,-1,-1,-1,-1,-1,25.85
15000025,15,6.6,7.5,7,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.6
15000026,15,3.1,8,-1,-1,-1,-1,8.75,9.25,-1,-1,-1,-1,-1,29.1
15000027,15,5.75,6.5,5.5,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,25.25
15000028,15,8.5,7.25,5.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29
15000029,15,9.5,8.25,-1,9.75,10,-1,-1,-1,-1,-1,-1,-1,-1,37.5
15000030,15,7.25,8.75,6,-1,-1,-1,7.25,-1,-1,-1,-1,-1,-1,29.25
15000031,15,7,8,-1,-1,8.5,8.5,-1,-1,-1,-1,-1,-1,-1,32
15000032,15,5.85,8.75,7.25,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,30.1
15000033,15,8,8.75,5.5,7.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.85
15000034,15,5.6,8.25,5.25,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,28.1
15000035,15,7.5,8.5,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,32.75
15000036,15,7,8.75,9.25,-1,-1,-1,-1,9.5,-1,-1,-1,-1,-1,34.5
15000037,15,8.25,8.75,6.75,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,33
15000038,15,4.75,8.75,5.5,-1,-1,-1,5.5,-1,-1,-1,-1,-1,-1,24.5
15000039,15,5.35,7.25,-1,-1,-1,-1,8.5,9.25,-1,-1,-1,-1,-1,30.35
15000040,15,6.5,7,5.25,-1,-1,-1,6.5,-1,-1,-1,-1,-1,-1,25.25
15000041,15,6.25,9,6.75,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,29.75
15000042,15,4.5,8.75,7,-1,-1,-1,4.85,-1,-1,-1,-1,-1,-1,25.1
15000043,15,5.5,9,6.25,-1,-1,-1,7.25,-1,-1,-1,-1,-1,-1,28
15000044,15,7,8.5,6.75,-1,-1,-1,6.35,-1,-1,-1,-1,-1,-1,28.6
15000045,15,6,8.25,8.5,-1,-1,-1,5.75,-1,-1,-1,-1,-1,-1,28.5
15000046,15,7.1,8.75,6.75,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,28.1
15000047,15,5.6,7.5,5.25,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,25.35
15000048,15,6.5,6.5,9.25,6.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.35
15000049,15,6.25,8.75,8.5,-1,-1,-1,-1,6.85,-1,-1,-1,-1,-1,30.35
15000050,15,6.25,8,6.25,-1,-1,-1,5.35,-1,-1,-1,-1,-1,-1,25.85
15000051,15,7.25,7.75,5.25,-1,-1,-1,6.25,-1,-1,-1,-1,-1,-1,26.5
15000052,15,7.25,6.75,7.5,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
15000053,15,5.25,8.5,-1,-1,-1,-1,8.75,9.5,-1,-1,-1,-1,-1,32
15000054,15,10,7.25,-1,7,8,-1,-1,-1,-1,-1,-1,-1,-1,32.25
15000055,15,8,7.5,6.75,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.25
15000056,15,7.75,7,-1,-1,8,8.75,-1,-1,-1,-1,-1,-1,-1,31.5
15000057,15,4.5,7.75,3.75,-1,-1,-1,-1,4.85,-1,-1,-1,-1,-1,20.85
15000058,15,5.1,8,-1,-1,-1,-1,10,10,-1,-1,-1,-1,-1,33.1
15000059,15,6.5,6.5,5.25,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.25
15000060,15,4.35,7.5,4.75,-1,-1,-1,5.85,-1,-1,-1,-1,-1,-1,22.45
15000061,15,4.6,7.75,3.25,-1,-1,-1,4.6,-1,-1,-1,-1,-1,-1,20.2
15000062,15,5.6,8.5,5.5,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,27.6
15000063,15,7.25,8.25,7.25,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,31.75
15000064,15,6.75,7.5,6.25,-1,-1,-1,7.25,-1,-1,-1,-1,-1,-1,27.75
15000065,15,6,9,6.25,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,26.75
15000066,15,4.25,8.5,-1,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,20.25
15000067,15,7.25,8.5,6,-1,-1,-1,-1,9.75,-1,-1,-1,-1,-1,31.5
15000068,15,8.5,5.25,-1,8,6.25,-1,-1,-1,-1,-1,-1,-1,-1,28
15000069,15,7.25,6.75,9.5,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.75
15000070,15,10,8.5,-1,9.25,9.25,-1,-1,-1,-1,-1,-1,-1,-1,37
15000071,15,6,8.75,5.5,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.45
15000072,15,7.25,7.5,9.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
