SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
21000001,21,5.85,8,4.5,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,25.35
21000002,21,8.5,5.5,-1,8.75,7.75,-1,-1,-1,-1,-1,-1,-1,-1,30.5
21000003,21,9,8,-1,-1,9.5,9,-1,-1,-1,-1,-1,-1,-1,35.5
21000004,21,4.25,7.5,5,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,24.5
21000005,21,7,7.75,-1,8,7.5,-1,-1,-1,-1,-1,-1,-1,-1,30.25
21000006,21,8,7.75,-1,8.5,9.5,-1,-1,-1,-1,-1,-1,-1,-1,33.75
21000007,21,7,7,-1,7.25,-1,-1,7.5,-1,-1,-1,-1,-1,-1,28.75
21000008,21,7,8.25,5.25,-1,8.25,-1,-1,-1,-1,-1,-1,-1,-1,28.75
21000009,21,8,8,-1,8.25,8,-1,-1,-1,-1,-1,-1,-1,-1,32.25
21000010,21,7,8,-1,8.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,30.5
21000011,21,7.5,7.25,-1,7.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,30.75
21000012,21,9,7,7.75,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.25
21000013,21,7.5,8,-1,7.75,8.25,-1,-1,-1,-1,-1,-1,-1,-1,31.5
21000014,21,8,6.75,5.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.5
21000015,21,5.5,9,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,31.25
21000016,21,6.6,8.5,6.5,-1,-1,-1,-1,8.75,-1,-1,-1,-1,-1,30.35
21000017,21,5.5,7.75,5.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.5
21000018,21,8,8,-1,7.75,9.5,-1,-1,-1,-1,-1,-1,-1,-1,33.25
21000019,21,4.85,8.5,4.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.1
21000020,21,8.5,8.5,5.25,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,31.25
21000021,21,7.5,7.25,5.25,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,28
21000022,21,7.5,8.5,-1,-1,4.95,-1,-1,-1,-1,-1,-1,-1,-1,20.95
21000023,21,6,8.75,4.5,4.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.1
21000024,21,6.25,8.5,6,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.25
21000026,21,6.25,7.25,7,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,27
21000027,21,9.5,8.5,-1,9.5,9.75,-1,-1,-1,-1,-1,-1,-1,-1,37.25
21000028,21,5.1,8.25,4.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,27.1
21000029,21,6.25,9,4.5,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,28
21000030,21,-1,7.25,-1,-1,-1,-1,6.75,7.25,-1,-1,-1,-1,-1,21.25
21000031,21,7.25,8.75,5.75,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.75
21000032,21,8.5,6.5,-1,8,8,-1,-1,-1,-1,-1,-1,-1,-1,31
21000033,21,8,8,-1,8.75,8,-1,-1,-1,-1,-1,-1,-1,-1,32.75
21000034,21,9,7.5,7.5,9.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.75
21000035,21,5.1,7.5,-1,6,2.75,-1,-1,-1,-1,-1,-1,-1,-1,21.35
21000036,21,3.85,7.25,-1,2.85,2.35,-1,-1,-1,-1,-1,-1,-1,-1,16.3
21000037,21,6.5,8,-1,-1,-1,-1,7.25,-1,-1,-1,-1,-1,8.75,30.5
21000038,21,5.35,7.75,-1,7.75,6.75,-1,-1,-1,-1,-1,-1,-1,-1,27.6
