SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
59000001,59,-1,7.25,-1,-1,-1,-1,5.85,5.1,-1,-1,-1,-1,-1,18.2
59000002,59,4.1,8,6.75,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,27.35
59000003,59,6.25,8.25,4.75,4.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,24
59000004,59,-1,8,-1,-1,-1,-1,8.5,9.25,-1,-1,-1,-1,-1,25.75
59000005,59,2.85,4.25,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,13.1
59000006,59,-1,7.25,-1,-1,-1,-1,5.1,5.35,-1,-1,-1,-1,-1,17.7
59000007,59,8,8,6.5,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.25
59000008,59,6.25,7,-1,7.25,6.1,-1,-1,-1,-1,-1,-1,-1,-1,26.6
59000009,59,2.75,7.75,-1,-1,-1,-1,6,6.75,-1,-1,-1,-1,-1,23.25
59000010,59,5.25,7.25,-1,8,8.25,-1,-1,-1,-1,-1,-1,-1,-1,28.75
59000011,59,5.75,8.75,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,28.5
59000012,59,5.6,6,4.5,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.35
59000013,59,9,9,-1,-1,9.25,9.5,-1,-1,-1,-1,-1,-1,-1,36.75
59000014,59,7,8.25,5.5,-1,8.25,-1,-1,-1,-1,-1,-1,-1,-1,29
59000015,59,5.75,9,6,-1,-1,-1,9.75,-1,-1,-1,-1,-1,-1,30.5
59000016,59,6,9.5,6.75,-1,-1,-1,8.5,-1,-1,-1,-1,-1,-1,30.75
59000017,59,6.25,8,-1,10,9,-1,-1,-1,-1,-1,-1,-1,-1,33.25
59000019,59,6.5,7,4,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.5
59000020,59,8,6.75,7.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.25
59000021,59,6.75,8.5,-1,-1,8.5,5.75,-1,-1,-1,-1,-1,-1,-1,29.5
59000022,59,6.75,8.75,7.75,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.25
59000023,59,6.1,7.75,-1,7,8.25,-1,-1,-1,-1,-1,-1,-1,-1,29.1
59000024,59,5,9.25,-1,8,6.75,-1,-1,-1,-1,-1,-1,-1,-1,29
59000025,59,6.75,8,6.75,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
59000026,59,6.1,8,5.25,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.35
59000027,59,5.5,9.25,5.75,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,29.25
59000028,59,6.5,8.25,-1,8.5,8,-1,-1,-1,-1,-1,-1,-1,-1,31.25
59000029,59,5,8,6.25,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,28
59000030,59,3.5,-1,3.5,4.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.85
59000031,59,7.5,7.75,-1,-1,8.5,8,-1,-1,-1,-1,-1,-1,-1,31.75
59000032,59,7.5,7.75,-1,8.1,9.5,-1,-1,-1,-1,-1,-1,-1,-1,32.85
59000033,59,-1,8.25,-1,-1,-1,-1,6.25,5.75,-1,-1,-1,-1,-1,20.25
59000034,59,7.5,8.5,6.25,-1,-1,-1,-1,8.75,-1,-1,-1,-1,-1,31
59000035,59,1.95,7.25,-1,-1,-1,-1,6.25,7,-1,-1,-1,-1,-1,22.45
59000036,59,7.25,8.5,-1,8.5,6.25,-1,-1,-1,-1,-1,-1,-1,-1,30.5
59000037,59,5.25,8.5,-1,-1,6.5,6.6,-1,-1,-1,-1,-1,-1,-1,26.85
59000038,59,7,8,-1,-1,8.5,9,-1,-1,-1,-1,-1,-1,-1,32.5
59000039,59,5.6,8.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,28.85
59000041,59,5.25,9.25,5,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,27.5
59000042,59,-1,8,-1,-1,-1,-1,7,9.25,-1,-1,-1,-1,-1,24.25
59000043,59,6.75,8.5,-1,9,7.85,-1,-1,-1,-1,-1,-1,-1,-1,32.1
59000044,59,2.6,7.5,-1,-1,-1,-1,7.5,9,-1,-1,-1,-1,-1,26.6
59000045,59,4.75,8,-1,-1,-1,-1,6,5.75,-1,-1,-1,-1,-1,24.5
59000046,59,5.75,9,-1,-1,8.75,7.75,-1,-1,-1,-1,-1,-1,-1,31.25
59000047,59,-1,8.25,3.5,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,21
59000048,59,8.5,9,-1,-1,8.5,10,-1,-1,-1,-1,-1,-1,-1,36
59000049,59,6.25,8,5.25,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26
59000050,59,5.35,7.5,-1,6.5,5.75,-1,-1,-1,-1,-1,-1,-1,-1,25.1
59000051,59,7.25,7.75,8.25,-1,-1,-1,-1,-1,-1,9.25,-1,-1,-1,32.5
59000052,59,-1,7.75,-1,-1,-1,-1,7,8,-1,-1,-1,-1,-1,22.75
59000053,59,5.85,8,7.25,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.6
59000054,59,9.25,9,-1,-1,9.5,8.25,-1,-1,-1,-1,-1,-1,-1,36
59000055,59,8.5,7.5,6.5,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
59000056,59,7.25,6.75,5,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.5
59000057,59,9,8.5,-1,9.25,9.25,-1,-1,-1,-1,-1,-1,-1,-1,36
59000058,59,4.75,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
59000059,59,3,4.5,2.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.25
59000060,59,3.5,6.5,-1,-1,-1,-1,9.25,9,-1,-1,-1,-1,-1,28.25
