SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
25000001,25,9,8,7,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.25
25000002,25,8.5,6.75,-1,-1,9.75,8.5,-1,-1,-1,-1,-1,-1,-1,33.5
25000003,25,6,7.25,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,32
25000004,25,5.25,6.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,27.25
25000005,25,3.1,6,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,26.1
25000006,25,9.5,6.5,-1,10,9.75,-1,-1,-1,-1,-1,-1,-1,-1,35.75
25000007,25,7.75,6.5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,32.5
25000008,25,9,8.25,-1,9,9.5,-1,-1,-1,-1,-1,-1,-1,-1,35.75
25000009,25,7,7,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,32.5
25000010,25,5.5,8.5,7,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,28.75
25000011,25,8,8.25,6.5,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
25000012,25,7.5,6.5,-1,-1,9,9,-1,-1,-1,-1,-1,-1,-1,32
25000013,25,6.25,5.5,-1,-1,7.25,7.5,-1,-1,-1,-1,-1,-1,-1,26.5
25000014,25,9,7.75,9.5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.25
25000015,25,8.75,5.75,-1,-1,-1,-1,-1,-1,-1,8.75,7.25,-1,-1,30.5
25000016,25,10,7.5,7,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,34
25000017,25,8,8,-1,9.5,8.5,-1,-1,-1,-1,-1,-1,-1,-1,34
25000018,25,7.25,7.5,6.75,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.5
25000019,25,9,6.5,8,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.25
25000020,25,7.6,8.25,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,31.85
25000021,25,7.5,6.75,-1,-1,8,8,-1,-1,-1,-1,-1,-1,-1,30.25
25000022,25,9.25,7.75,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
25000023,25,8,7.75,-1,8.5,7,-1,-1,-1,-1,-1,-1,-1,-1,31.25
25000024,25,6.75,7.25,8,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.5
25000025,25,8.25,8,8,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.75
25000026,25,7.5,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,30.5
25000027,25,9.25,6.5,-1,-1,8.75,8,-1,-1,-1,-1,-1,-1,-1,32.5
25000028,25,6.5,6.5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.25,27.25
25000029,25,9,6.25,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,33
25000030,25,6.5,6,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,28
25000031,25,8,7.5,-1,7.5,8.75,-1,-1,-1,-1,-1,-1,-1,-1,31.75
25000032,25,5.5,8,5.75,-1,-1,-1,7.25,-1,-1,-1,-1,-1,-1,26.5
25000033,25,7,8.5,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.5,34
25000034,25,6.75,5.25,-1,-1,8.5,7.25,-1,-1,-1,-1,-1,-1,-1,27.75
25000035,25,5.6,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,27.6
25000036,25,5.75,7.75,7,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,29.25
25000037,25,6.5,8,7.75,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,32.25
25000038,25,6.5,8,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,32.5
25000039,25,7.5,6.75,6.25,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.5
25000040,25,7.25,6.5,8.25,-1,8.5,-1,-1,-1,-1,-1,-1,-1,-1,30.5
25000041,25,6.1,7.5,7.75,-1,-1,-1,-1,9.5,-1,-1,-1,-1,-1,30.85
25000042,25,6.6,5.25,8.5,4.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.2
25000043,25,8.25,6.25,9,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.25
25000044,25,5.75,6,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,29.75
25000045,25,6.75,6.5,8.5,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29
25000046,25,6.75,8,6,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,29
25000047,25,6.75,8,8,-1,-1,-1,9.5,-1,-1,-1,-1,-1,-1,32.25
25000048,25,7,7.25,7,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,29.25
25000049,25,7.25,8.25,9.75,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,34.25
25000050,25,9,8,-1,8.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,34
25000051,25,5.5,8.75,5.75,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,30
25000052,25,8.25,6,-1,8.75,8.5,-1,-1,-1,-1,-1,-1,-1,-1,31.5
25000053,25,6.1,8.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.75,30.1
25000054,25,6,8,-1,-1,-1,-1,9,9.25,-1,-1,-1,-1,-1,32.25
25000055,25,5,7.25,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,28
25000056,25,7.25,7.5,7.25,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,30.25
25000057,25,5.5,8.5,9.75,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,32.75
25000058,25,6.1,9,6.5,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,29.85
25000059,25,9,7,-1,10,9,-1,-1,-1,-1,-1,-1,-1,-1,35
25000060,25,6.75,7.5,8.25,-1,-1,-1,7.75,-1,-1,-1,-1,-1,-1,30.25
25000061,25,4.35,8,8.75,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,31.1
25000062,25,6.75,8.5,6.25,-1,-1,-1,9.25,-1,-1,-1,-1,-1,-1,30.75
25000063,25,6.1,7.25,8.75,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,30.35
25000064,25,7.75,8.25,9,-1,-1,-1,9.75,-1,-1,-1,-1,-1,-1,34.75
25000065,25,6,8,8.75,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,31.75
25000066,25,7.75,8,-1,-1,9.25,9.75,-1,-1,-1,-1,-1,-1,-1,34.75
25000067,25,5.5,7,5.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,26.25
25000068,25,3.85,7.25,-1,-1,-1,-1,9.5,10,-1,-1,-1,-1,-1,30.6
25000069,25,8,8.5,6.25,-1,-1,-1,-1,8.75,-1,-1,-1,-1,-1,31.5
25000070,25,7.75,8.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,34
25000071,25,8.5,8.25,-1,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,34.5
25000072,25,10,7.5,8.75,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.75
25000073,25,7.5,6.25,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5,30
25000074,25,7.75,5.75,-1,9.75,7.5,-1,-1,-1,-1,-1,-1,-1,-1,30.75
25000075,25,9,7.75,8.75,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.25
25000076,25,8,5.5,-1,8.75,8.5,-1,-1,-1,-1,-1,-1,-1,-1,30.75
25000077,25,9,5,-1,8.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,31
25000078,25,5,7.25,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,27.5
25000079,25,7.5,7.75,-1,-1,7.75,7.85,-1,-1,-1,-1,-1,-1,-1,30.85
25000080,25,5.75,7,-1,-1,5.5,6,-1,-1,-1,-1,-1,-1,-1,24.25
25000081,25,8.75,7.5,7.25,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.5
25000082,25,9,6.5,-1,9.25,9.25,-1,-1,-1,-1,-1,-1,-1,-1,34
25000083,25,8,7,6.5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5
25000084,25,8.25,6.75,-1,-1,9,8.75,-1,-1,-1,-1,-1,-1,-1,32.75
25000085,25,7,6.5,-1,8.5,8.5,-1,-1,-1,-1,-1,-1,-1,-1,30.5
25000086,25,6.5,8.25,6.75,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
25000087,25,7.25,8.25,-1,-1,-1,-1,9,8.75,-1,-1,-1,-1,-1,33.25
25000088,25,8,7.75,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,33.75
25000089,25,8.75,7.25,-1,-1,7.5,9,-1,-1,-1,-1,-1,-1,-1,32.5
25000090,25,8.5,5.25,7,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5
25000091,25,8.25,8.75,8.75,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,35.75
25000092,25,7.5,8.5,-1,-1,6.85,6.6,-1,-1,-1,-1,-1,-1,-1,29.45
25000093,25,8,8,8,6.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.45
25000094,25,7.25,7,6.75,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,29
25000095,25,6.25,7.5,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.75,29
25000096,25,6.1,7.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,29.35
25000097,25,9,7,8,9.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.25
25000098,25,8.25,5.75,-1,-1,8.5,7.6,-1,-1,-1,-1,-1,-1,-1,30.1
25000099,25,7.5,5.5,-1,-1,8.5,7.75,-1,-1,-1,-1,-1,-1,-1,29.25
25000100,25,8,8.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.75,34.75
25000101,25,7.25,8.25,5.75,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,31.25
25000102,25,8.25,7,-1,9.75,9.25,-1,-1,-1,-1,-1,-1,-1,-1,34.25
25000103,25,6.5,9.25,5.75,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,29.5
25000104,25,10,7,-1,-1,9.25,8.25,-1,-1,-1,-1,-1,-1,-1,34.5
25000105,25,8.5,8,5.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.25,31.25
25000106,25,9,7,-1,9.5,9.25,-1,-1,-1,-1,-1,-1,-1,-1,34.75
25000107,25,8.5,7.75,7.25,-1,4.35,-1,-1,-1,-1,-1,-1,-1,-1,27.85
